FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-1.176	-1.135	-1.171	-0.609	0.419	-0.111	0.396	-0.095	0.437	0.818	0.615	0.462	1.267	1.157	-0.843	-0.599	-0.379	-0.510	0.213	0.352	1.325	1.206	1.577	0.785	0.298	0.118	-0.192	0.756	-199.219
-1.383	-1.256	-1.354	-0.727	0.282	-0.346	0.436	-0.223	0.252	0.792	0.590	0.604	1.374	1.291	-1.082	-0.641	-0.533	-0.412	0.195	0.367	1.292	1.226	1.543	1.028	0.663	0.444	0.116	0.939	-195.312
-1.560	-1.359	-1.524	-0.833	0.151	-0.560	0.469	-0.335	0.083	0.765	0.562	0.731	1.467	1.414	-1.297	-0.677	-0.675	-0.333	0.171	0.382	1.266	1.240	1.498	1.252	0.989	0.742	0.399	1.104	-191.406
-1.682	-1.429	-1.666	-0.914	0.036	-0.733	0.488	-0.419	-0.057	0.736	0.524	0.832	1.535	1.515	-1.466	-0.697	-0.797	-0.286	0.137	0.398	1.253	1.241	1.434	1.437	1.243	0.986	0.634	1.233	-187.500
-1.733	-1.455	-1.772	-0.961	-0.057	-0.849	0.486	-0.469	-0.159	0.700	0.474	0.897	1.565	1.584	-1.573	-0.699	-0.889	-0.280	0.089	0.417	1.252	1.225	1.345	1.571	1.404	1.158	0.807	1.312	-183.594
-1.704	-1.431	-1.831	-0.967	-0.120	-0.898	0.460	-0.481	-0.223	0.650	0.409	0.923	1.551	1.613	-1.609	-0.679	-0.946	-0.314	0.026	0.439	1.261	1.188	1.230	1.642	1.464	1.249	0.907	1.333	-179.688
-1.600	-1.359	-1.835	-0.927	-0.148	-0.876	0.406	-0.460	-0.253	0.583	0.329	0.910	1.489	1.597	-1.575	-0.637	-0.967	-0.383	-0.048	0.465	1.274	1.130	1.092	1.648	1.430	1.259	0.931	1.294	-175.781
-1.434	-1.244	-1.779	-0.845	-0.138	-0.788	0.330	-0.411	-0.257	0.493	0.237	0.861	1.382	1.536	-1.480	-0.576	-0.953	-0.476	-0.130	0.497	1.283	1.051	0.936	1.589	1.321	1.197	0.885	1.197	-171.875
-1.225	-1.094	-1.662	-0.723	-0.088	-0.642	0.239	-0.341	-0.242	0.384	0.134	0.781	1.236	1.433	-1.340	-0.498	-0.909	-0.580	-0.212	0.536	1.281	0.954	0.767	1.473	1.158	1.076	0.781	1.051	-167.969
-0.995	-0.921	-1.487	-0.571	-0.002	-0.450	0.144	-0.256	-0.214	0.262	0.025	0.679	1.063	1.298	-1.173	-0.409	-0.844	-0.683	-0.288	0.583	1.265	0.839	0.592	1.309	0.965	0.911	0.639	0.866	-164.062
-0.763	-0.733	-1.259	-0.396	0.116	-0.228	0.058	-0.157	-0.174	0.139	-0.086	0.562	0.874	1.141	-1.000	-0.315	-0.770	-0.773	-0.352	0.637	1.233	0.706	0.413	1.108	0.759	0.719	0.477	0.656	-160.156
-0.544	-0.538	-0.990	-0.209	0.256	0.009	-0.007	-0.047	-0.123	0.027	-0.193	0.437	0.683	0.974	-0.836	-0.219	-0.695	-0.844	-0.403	0.694	1.184	0.557	0.232	0.884	0.554	0.511	0.316	0.436	-156.250
-0.345	-0.341	-0.693	-0.021	0.405	0.246	-0.039	0.075	-0.058	-0.059	-0.287	0.312	0.501	0.807	-0.694	-0.126	-0.628	-0.893	-0.441	0.749	1.121	0.388	0.051	0.644	0.358	0.299	0.168	0.220	-152.344
-0.169	-0.144	-0.385	0.160	0.552	0.469	-0.034	0.207	0.021	-0.107	-0.358	0.192	0.339	0.650	-0.580	-0.040	-0.576	-0.919	-0.472	0.796	1.045	0.199	-0.130	0.398	0.174	0.090	0.041	0.017	-148.438
-0.014	0.050	-0.083	0.328	0.685	0.666	0.012	0.347	0.115	-0.111	-0.394	0.083	0.202	0.508	-0.495	0.038	-0.538	-0.926	-0.500	0.829	0.961	-0.007	-0.309	0.153	0.007	-0.109	-0.064	-0.162	-144.531
0.121	0.236	0.193	0.480	0.795	0.831	0.094	0.491	0.220	-0.071	-0.389	-0.012	0.097	0.386	-0.436	0.110	-0.515	-0.921	-0.531	0.843	0.871	-0.228	-0.484	-0.086	-0.146	-0.292	-0.151	-0.315	-140.625
0.239	0.410	0.426	0.613	0.879	0.959	0.206	0.630	0.327	0.009	-0.341	-0.092	0.023	0.287	-0.397	0.178	-0.499	-0.908	-0.566	0.841	0.783	-0.453	-0.651	-0.310	-0.281	-0.454	-0.226	-0.440	-136.719
0.338	0.565	0.602	0.729	0.937	1.051	0.335	0.755	0.427	0.115	-0.253	-0.158	-0.019	0.211	-0.371	0.244	-0.483	-0.888	-0.604	0.827	0.702	-0.671	-0.805	-0.514	-0.400	-0.591	-0.293	-0.540	-132.812
0.417	0.694	0.713	0.828	0.972	1.108	0.468	0.856	0.508	0.235	-0.135	-0.213	-0.036	0.158	-0.349	0.312	-0.461	-0.860	-0.638	0.810	0.631	-0.866	-0.940	-0.688	-0.502	-0.699	-0.354	-0.620	-128.906
0.472	0.789	0.757	0.907	0.984	1.132	0.588	0.924	0.558	0.350	-0.005	-0.262	-0.034	0.127	-0.324	0.381	-0.425	-0.819	-0.658	0.796	0.574	-1.022	-1.051	-0.827	-0.585	-0.776	-0.409	-0.682	-125.000
