FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.264	0.422	0.677	1.248	0.645	0.629	-0.633	0.163	-0.055	-0.885	-1.192	-1.392	-0.102	0.303	0.305	-0.366	-0.431	0.993	0.375	-0.584	0.725	-0.136	0.486	-0.815	0.098	-0.334	-1.058	-1.366	-199.219
0.132	0.288	0.470	0.798	0.564	0.414	-0.417	-0.050	-0.281	-0.721	-1.010	-1.161	0.261	0.520	0.211	-0.389	-0.443	1.032	0.362	-0.534	0.786	-0.017	0.482	-0.527	0.013	-0.337	-0.808	-1.216	-195.312
0.012	0.154	0.281	0.374	0.484	0.208	-0.234	-0.257	-0.510	-0.595	-0.864	-0.962	0.604	0.727	0.129	-0.409	-0.448	1.082	0.356	-0.488	0.843	0.101	0.488	-0.243	-0.073	-0.346	-0.576	-1.084	-191.406
-0.087	0.024	0.139	0.006	0.411	0.028	-0.107	-0.455	-0.744	-0.535	-0.778	-0.820	0.905	0.913	0.064	-0.425	-0.441	1.144	0.361	-0.445	0.889	0.218	0.510	0.027	-0.162	-0.368	-0.378	-0.984	-187.500
-0.158	-0.095	0.062	-0.285	0.350	-0.115	-0.050	-0.639	-0.980	-0.555	-0.769	-0.749	1.148	1.065	0.023	-0.433	-0.421	1.218	0.380	-0.403	0.924	0.332	0.547	0.274	-0.254	-0.406	-0.226	-0.925	-183.594
-0.196	-0.198	0.053	-0.487	0.303	-0.216	-0.064	-0.808	-1.210	-0.657	-0.836	-0.752	1.321	1.177	0.006	-0.430	-0.384	1.295	0.415	-0.357	0.949	0.441	0.598	0.489	-0.345	-0.458	-0.126	-0.909	-179.688
-0.204	-0.280	0.098	-0.597	0.272	-0.275	-0.141	-0.958	-1.421	-0.825	-0.966	-0.817	1.416	1.244	0.013	-0.414	-0.331	1.360	0.464	-0.300	0.969	0.543	0.657	0.663	-0.427	-0.521	-0.076	-0.928	-175.781
-0.186	-0.338	0.172	-0.625	0.258	-0.299	-0.261	-1.085	-1.601	-1.033	-1.134	-0.922	1.434	1.263	0.040	-0.383	-0.263	1.399	0.522	-0.227	0.987	0.635	0.715	0.788	-0.493	-0.585	-0.069	-0.968	-171.875
-0.152	-0.374	0.242	-0.587	0.257	-0.298	-0.396	-1.186	-1.733	-1.244	-1.305	-1.036	1.380	1.238	0.084	-0.337	-0.187	1.395	0.583	-0.132	1.007	0.716	0.761	0.861	-0.535	-0.638	-0.090	-1.011	-167.969
-0.113	-0.396	0.279	-0.506	0.265	-0.282	-0.521	-1.255	-1.806	-1.418	-1.449	-1.131	1.262	1.173	0.134	-0.279	-0.110	1.340	0.640	-0.016	1.027	0.782	0.786	0.884	-0.545	-0.669	-0.125	-1.036	-164.062
-0.080	-0.412	0.264	-0.400	0.276	-0.261	-0.615	-1.288	-1.810	-1.524	-1.536	-1.179	1.095	1.075	0.183	-0.211	-0.040	1.233	0.684	0.116	1.047	0.832	0.784	0.863	-0.521	-0.667	-0.156	-1.026	-160.156
-0.062	-0.426	0.195	-0.289	0.286	-0.244	-0.663	-1.284	-1.743	-1.540	-1.549	-1.165	0.894	0.954	0.218	-0.139	0.013	1.079	0.709	0.258	1.061	0.865	0.753	0.808	-0.462	-0.626	-0.172	-0.968	-156.250
-0.062	-0.443	0.080	-0.182	0.289	-0.234	-0.665	-1.242	-1.611	-1.462	-1.484	-1.083	0.675	0.821	0.232	-0.067	0.046	0.892	0.710	0.401	1.065	0.879	0.697	0.732	-0.374	-0.545	-0.163	-0.860	-152.344
-0.083	-0.459	-0.066	-0.086	0.283	-0.232	-0.628	-1.166	-1.425	-1.300	-1.347	-0.939	0.455	0.689	0.216	0.004	0.057	0.687	0.683	0.537	1.055	0.875	0.625	0.646	-0.261	-0.429	-0.128	-0.706	-148.438
-0.120	-0.471	-0.225	-0.004	0.267	-0.238	-0.565	-1.060	-1.201	-1.075	-1.156	-0.750	0.246	0.568	0.172	0.073	0.048	0.483	0.627	0.657	1.032	0.854	0.545	0.561	-0.136	-0.287	-0.069	-0.519	-144.531
-0.166	-0.471	-0.384	0.063	0.244	-0.247	-0.490	-0.928	-0.959	-0.816	-0.935	-0.538	0.061	0.466	0.104	0.139	0.027	0.293	0.542	0.756	0.995	0.818	0.470	0.484	-0.007	-0.134	0.005	-0.318	-140.625
-0.212	-0.454	-0.529	0.112	0.217	-0.255	-0.413	-0.775	-0.715	-0.549	-0.707	-0.325	-0.092	0.387	0.022	0.201	-0.002	0.127	0.431	0.829	0.945	0.767	0.403	0.417	0.114	0.015	0.082	-0.123	-136.719
-0.253	-0.419	-0.652	0.140	0.190	-0.254	-0.337	-0.603	-0.481	-0.293	-0.492	-0.133	-0.208	0.331	-0.065	0.255	-0.033	-0.012	0.297	0.869	0.886	0.702	0.347	0.358	0.217	0.144	0.151	0.045	-132.812
-0.282	-0.370	-0.744	0.143	0.168	-0.239	-0.258	-0.414	-0.265	-0.056	-0.303	0.027	-0.282	0.295	-0.146	0.295	-0.063	-0.124	0.148	0.875	0.818	0.623	0.297	0.301	0.295	0.241	0.203	0.173	-128.906
-0.299	-0.317	-0.804	0.119	0.152	-0.209	-0.168	-0.213	-0.064	0.161	-0.142	0.149	-0.312	0.270	-0.215	0.315	-0.090	-0.215	-0.007	0.844	0.742	0.529	0.246	0.243	0.344	0.303	0.234	0.254	-125.000
-0.306	-0.274	-0.835	0.068	0.140	-0.171	-0.058	-0.002	0.126	0.367	-0.006	0.238	-0.296	0.252	-0.268	0.311	-0.113	-0.290	-0.154	0.779	0.659	0.424	0.188	0.180	0.366	0.332	0.243	0.288	-121.094
-0.306	-0.255	-0.845	-0.009	0.129	-0.133	0.076	0.209	0.313	0.567	0.114	0.301	-0.237	0.232	-0.303	0.284	-0.128	-0.350	-0.277	0.685	0.573	0.310	0.119	0.111	0.365	0.333	0.236	0.284	-117.188
-0.306	-0.271	-0.847	-0.109	0.112	-0.108	0.234	0.413	0.500	0.763	0.225	0.348	-0.140	0.209	-0.318	0.237	-0.130	-0.398	-0.360	0.573	0.485	0.196	0.041	0.038	0.349	0.315	0.219	0.252	-113.281
-0.307	-0.324	-0.854	-0.222	0.081	-0.104	0.405	0.599	0.685	0.950	0.331	0.386	-0.014	0.182	-0.313	0.181	-0.114	-0.432	-0.391	0.460	0.402	0.091	-0.042	-0.032	0.321	0.280	0.197	0.202	-109.375
-0.307	-0.406	-0.872	-0.337	0.036	-0.127	0.572	0.754	0.860	1.114	0.429	0.416	0.127	0.157	-0.285	0.130	-0.075	-0.446	-0.363	0.363	0.330	0.003	-0.122	-0.096	0.282	0.230	0.172	0.140	-105.469
-0.304	-0.500	-0.895	-0.439	-0.023	-0.169	0.713	0.870	1.008	1.237	0.511	0.433	0.269	0.139	-0.234	0.100	-0.008	-0.436	-0.277	0.300	0.278	-0.060	-0.192	-0.149	0.229	0.156	0.141	0.068	-101.562
-0.287	-0.580	-0.907	-0.508	-0.087	-0.218	0.808	0.935	1.111	1.298	0.560	0.426	0.396	0.139	-0.161	0.105	0.087	-0.399	-0.146	0.287	0.251	-0.093	-0.248	-0.191	0.154	0.050	0.100	-0.017	-97.656
-0.248	-0.614	-0.886	-0.529	-0.141	-0.255	0.841	0.942	1.144	1.278	0.558	0.383	0.496	0.163	-0.072	0.156	0.209	-0.335	0.015	0.333	0.257	-0.094	-0.286	-0.223	0.050	-0.097	0.041	-0.119	-93.750
-0.179	-0.578	-0.810	-0.486	-0.171	-0.259	0.803	0.885	1.091	1.167	0.488	0.293	0.561	0.217	0.027	0.257	0.355	-0.247	0.185	0.440	0.295	-0.068	-0.305	-0.250	-0.085	-0.285	-0.041	-0.244	-89.844
-0.075	-0.454	-0.667	-0.374	-0.162	-0.214	0.698	0.765	0.943	0.962	0.341	0.151	0.590	0.298	0.127	0.406	0.518	-0.145	0.345	0.600	0.362	-0.018	-0.305	-0.274	-0.250	-0.507	-0.146	-0.389	-85.938
0.065	-0.239	-0.460	-0.198	-0.110	-0.115	0.539	0.589	0.705	0.674	0.116	-0.038	0.584	0.398	0.221	0.589	0.686	-0.042	0.479	0.796	0.448	0.045	-0.286	-0.300	-0.432	-0.744	-0.268	-0.546	-82.031
0.233	0.052	-0.209	0.029	-0.016	0.035	0.346	0.373	0.399	0.326	-0.170	-0.258	0.549	0.502	0.300	0.789	0.848	0.048	0.576	1.002	0.537	0.112	-0.251	-0.327	-0.616	-0.971	-0.396	-0.700	-78.125
0.417	0.391	0.056	0.285	0.103	0.219	0.147	0.142	0.063	-0.046	-0.486	-0.484	0.492	0.589	0.358	0.982	0.988	0.112	0.627	1.189	0.610	0.169	-0.206	-0.357	-0.781	-1.161	-0.515	-0.829	-74.219
0.598	0.740	0.298	0.545	0.228	0.409	-0.030	-0.075	-0.258	-0.398	-0.789	-0.683	0.418	0.636	0.393	1.143	1.090	0.137	0.630	1.329	0.645	0.205	-0.159	-0.389	-0.908	-1.289	-0.607	-0.911	-70.312
0.760	1.059	0.487	0.780	0.332	0.577	-0.162	-0.249	-0.514	-0.688	-1.033	-0.825	0.327	0.625	0.404	1.251	1.143	0.119	0.583	1.396	0.623	0.207	-0.121	-0.422	-0.981	-1.338	-0.661	-0.926	-66.406
0.884	1.311	0.605	0.968	0.392	0.697	-0.233	-0.355	-0.667	-0.881	-1.173	-0.882	0.219	0.542	0.392	1.293	1.137	0.056	0.488	1.375	0.530	0.170	-0.101	-0.457	-0.995	-1.302	-0.670	-0.862	-62.500
0.959	1.470	0.651	1.093	0.392	0.750	-0.239	-0.379	-0.693	-0.954	-1.179	-0.841	0.086	0.380	0.362	1.262	1.069	-0.045	0.351	1.260	0.361	0.089	-0.108	-0.494	-0.947	-1.184	-0.633	-0.716	-58.594
0.980	1.523	0.640	1.147	0.326	0.731	-0.188	-0.320	-0.588	-0.903	-1.037	-0.699	-0.077	0.144	0.317	1.160	0.943	-0.174	0.180	1.056	0.121	-0.031	-0.147	-0.535	-0.844	-0.993	-0.556	-0.495	-54.688
0.946	1.474	0.598	1.132	0.202	0.647	-0.098	-0.190	-0.373	-0.740	-0.754	-0.469	-0.275	-0.152	0.262	0.995	0.768	-0.317	-0.015	0.777	-0.180	-0.183	-0.216	-0.576	-0.693	-0.741	-0.448	-0.216	-50.781
0.862	1.336	0.553	1.053	0.036	0.514	0.009	-0.012	-0.081	-0.489	-0.356	-0.171	-0.506	-0.486	0.202	0.780	0.556	-0.465	-0.220	0.441	-0.524	-0.354	-0.310	-0.611	-0.501	-0.441	-0.316	0.105	-46.875
0.732	1.130	0.525	0.920	-0.152	0.357	0.107	0.188	0.246	-0.185	0.121	0.170	-0.761	-0.834	0.140	0.527	0.323	-0.607	-0.422	0.068	-0.890	-0.529	-0.419	-0.631	-0.277	-0.101	-0.168	0.446	-42.969
0.565	0.881	0.518	0.742	-0.339	0.202	0.178	0.385	0.569	0.137	0.634	0.528	-1.022	-1.171	0.077	0.251	0.085	-0.738	-0.608	-0.324	-1.260	-0.695	-0.530	-0.623	-0.027	0.269	-0.004	0.794	-39.062
0.368	0.610	0.526	0.528	-0.505	0.073	0.212	0.561	0.856	0.448	1.143	0.882	-1.268	-1.477	0.014	-0.041	-0.146	-0.857	-0.769	-0.719	-1.617	-0.843	-0.631	-0.579	0.240	0.659	0.174	1.135	-35.156
0.151	0.339	0.534	0.291	-0.639	-0.016	0.212	0.708	1.093	0.726	1.615	1.216	-1.476	-1.739	-0.051	-0.339	-0.356	-0.965	-0.900	-1.106	-1.950	-0.968	-0.712	-0.492	0.513	1.053	0.366	1.460	-31.250
-0.072	0.086	0.524	0.044	-0.735	-0.057	0.189	0.829	1.281	0.962	2.026	1.519	-1.628	-1.948	-0.123	-0.637	-0.540	-1.063	-1.007	-1.476	-2.252	-1.072	-0.770	-0.368	0.777	1.430	0.566	1.761	-27.344
-0.287	-0.131	0.492	-0.199	-0.794	-0.052	0.163	0.934	1.433	1.157	2.367	1.782	-1.713	-2.107	-0.205	-0.928	-0.698	-1.153	-1.097	-1.820	-2.520	-1.165	-0.809	-0.220	1.014	1.762	0.764	2.029	-23.438
-0.477	-0.299	0.444	-0.421	-0.822	-0.011	0.154	1.039	1.568	1.318	2.637	1.999	-1.731	-2.221	-0.297	-1.203	-0.832	-1.232	-1.183	-2.132	-2.752	-1.260	-0.837	-0.070	1.205	2.017	0.943	2.252	-19.531
-0.629	-0.411	0.401	-0.605	-0.829	0.055	0.182	1.159	1.708	1.458	2.841	2.165	-1.692	-2.298	-0.398	-1.452	-0.950	-1.297	-1.278	-2.403	-2.951	-1.366	-0.868	0.054	1.333	2.169	1.082	2.414	-15.625
-0.732	-0.464	0.391	-0.739	-0.821	0.135	0.257	1.305	1.865	1.591	2.992	2.275	-1.613	-2.349	-0.501	-1.663	-1.059	-1.342	-1.389	-2.626	-3.118	-1.492	-0.913	0.129	1.386	2.195	1.161	2.500	-11.719
-0.778	-0.465	0.440	-0.816	-0.804	0.221	0.382	1.479	2.042	1.724	3.101	2.327	-1.515	-2.378	-0.595	-1.826	-1.160	-1.363	-1.517	-2.790	-3.253	-1.635	-0.978	0.134	1.360	2.087	1.162	2.501	-7.812
-0.767	-0.423	0.566	-0.835	-0.782	0.309	0.546	1.672	2.229	1.854	3.176	2.318	-1.419	-2.387	-0.668	-1.933	-1.252	-1.356	-1.653	-2.887	-3.353	-1.787	-1.064	0.063	1.257	1.849	1.079	2.409	-3.906
-0.702	-0.350	0.769	-0.800	-0.752	0.395	0.734	1.867	2.407	1.974	3.221	2.251	-1.339	-2.375	-0.708	-1.976	-1.328	-1.323	-1.780	-2.906	-3.411	-1.931	-1.161	-0.082	1.086	1.501	0.915	2.227	0.000
-0.588	-0.258	1.033	-0.715	-0.712	0.480	0.921	2.041	2.546	2.063	3.231	2.128	-1.281	-2.336	-0.704	-1.955	-1.375	-1.269	-1.877	-2.842	-3.419	-2.046	-1.257	-0.283	0.860	1.070	0.682	1.966	3.906
-0.434	-0.154	1.328	-0.585	-0.656	0.565	1.082	2.167	2.617	2.098	3.197	1.954	-1.248	-2.263	-0.653	-1.871	-1.381	-1.198	-1.924	-2.692	-3.369	-2.113	-1.337	-0.518	0.595	0.594	0.401	1.645	7.812
-0.248	-0.040	1.620	-0.413	-0.580	0.649	1.195	2.222	2.592	2.057	3.106	1.737	-1.233	-2.155	-0.553	-1.732	-1.335	-1.112	-1.905	-2.459	-3.255	-2.118	-1.387	-0.761	0.304	0.108	0.098	1.287	11.719
-0.040	0.083	1.882	-0.199	-0.482	0.733	1.243	2.192	2.455	1.923	2.946	1.485	-1.229	-2.013	-0.412	-1.548	-1.234	-1.013	-1.813	-2.155	-3.076	-2.057	-1.401	-0.988	0.005	-0.354	-0.204	0.920	15.625
0.182	0.218	2.097	0.053	-0.364	0.816	1.216	2.073	2.204	1.691	2.710	1.207	-1.231	-1.845	-0.240	-1.334	-1.083	-0.897	-1.655	-1.796	-2.840	-1.937	-1.376	-1.183	-0.290	-0.762	-0.482	0.570	19.531
0.408	0.365	2.260	0.338	-0.234	0.896	1.116	1.873	1.855	1.371	2.402	0.916	-1.239	-1.667	-0.053	-1.106	-0.895	-0.764	-1.447	-1.405	-2.562	-1.776	-1.319	-1.336	-0.566	-1.099	-0.723	0.260	23.438
0.631	0.523	2.380	0.644	-0.101	0.971	0.952	1.613	1.439	0.986	2.038	0.626	-1.253	-1.497	0.132	-0.883	-0.695	-0.616	-1.214	-1.010	-2.267	-1.598	-1.244	-1.448	-0.812	-1.354	-0.916	0.010	27.344
0.840	0.683	2.470	0.953	0.023	1.035	0.742	1.322	0.999	0.572	1.646	0.352	-1.282	-1.359	0.299	-0.680	-0.508	-0.462	-0.987	-0.640	-1.982	-1.432	-1.163	-1.524	-1.015	-1.522	-1.062	-0.171	31.250
1.028	0.833	2.541	1.237	0.122	1.084	0.508	1.035	0.584	0.171	1.264	0.113	-1.333	-1.272	0.433	-0.516	-0.363	-0.317	-0.793	-0.325	-1.737	-1.303	-1.091	-1.573	-1.166	-1.604	-1.160	-0.277	35.156
1.184	0.956	2.602	1.469	0.185	1.110	0.273	0.786	0.245	-0.173	0.934	-0.072	-1.414	-1.252	0.526	-0.402	-0.278	-0.197	-0.658	-0.089	-1.560	-1.229	-1.039	-1.605	-1.253	-1.600	-1.214	-0.309	39.062
1.297	1.033	2.647	1.616	0.197	1.102	0.057	0.602	0.023	-0.420	0.704	-0.185	-1.531	-1.311	0.569	-0.349	-0.265	-0.116	-0.593	0.048	-1.472	-1.218	-1.011	-1.626	-1.266	-1.510	-1.227	-0.271	42.969
1.354	1.046	2.663	1.650	0.144	1.046	-0.125	0.501	-0.050	-0.539	0.615	-0.205	-1.683	-1.452	0.562	-0.364	-0.322	-0.084	-0.601	0.075	-1.484	-1.267	-1.008	-1.637	-1.197	-1.328	-1.197	-0.165	46.875
1.345	0.979	2.627	1.551	0.016	0.929	-0.262	0.489	0.042	-0.508	0.701	-0.115	-1.863	-1.668	0.504	-0.450	-0.442	-0.107	-0.676	-0.010	-1.600	-1.365	-1.027	-1.633	-1.038	-1.044	-1.117	0.010	50.781
1.258	0.818	2.513	1.309	-0.193	0.734	-0.348	0.558	0.303	-0.315	0.984	0.103	-2.054	-1.943	0.393	-0.612	-0.613	-0.184	-0.807	-0.205	-1.812	-1.497	-1.064	-1.602	-0.783	-0.650	-0.975	0.257	54.688
1.082	0.558	2.301	0.924	-0.485	0.455	-0.379	0.694	0.726	0.044	1.477	0.465	-2.233	-2.255	0.226	-0.852	-0.828	-0.313	-0.984	-0.502	-2.106	-1.648	-1.117	-1.528	-0.436	-0.138	-0.754	0.589	58.594
0.812	0.198	1.978	0.413	-0.850	0.093	-0.351	0.880	1.290	0.564	2.176	0.981	-2.371	-2.577	-0.007	-1.174	-1.086	-0.493	-1.204	-0.890	-2.461	-1.808	-1.187	-1.394	-0.005	0.493	-0.436	1.018	62.500
0.446	-0.258	1.543	-0.196	-1.269	-0.339	-0.258	1.098	1.969	1.237	3.066	1.655	-2.440	-2.878	-0.315	-1.582	-1.391	-0.724	-1.468	-1.357	-2.853	-1.971	-1.280	-1.182	0.495	1.236	-0.007	1.559	66.406
-0.011	-0.793	1.010	-0.864	-1.712	-0.813	-0.095	1.334	2.727	2.040	4.112	2.478	-2.416	-3.134	-0.708	-2.074	-1.754	-1.008	-1.782	-1.891	-3.261	-2.140	-1.398	-0.881	1.042	2.074	0.543	2.217	70.312
-0.545	-1.387	0.403	-1.549	-2.147	-1.295	0.136	1.581	3.523	2.940	5.266	3.425	-2.292	-3.324	-1.189	-2.644	-2.181	-1.347	-2.151	-2.473	-3.663	-2.319	-1.546	-0.489	1.610	2.982	1.205	2.984	74.219
-1.132	-2.006	-0.240	-2.202	-2.541	-1.745	0.425	1.833	4.310	3.888	6.461	4.448	-2.074	-3.440	-1.745	-3.273	-2.671	-1.742	-2.570	-3.081	-4.043	-2.512	-1.721	-0.013	2.178	3.930	1.957	3.832	78.125
-1.741	-2.613	-0.875	-2.783	-2.866	-2.128	0.751	2.089	5.040	4.817	7.617	5.479	-1.787	-3.485	-2.349	-3.929	-3.208	-2.184	-3.023	-3.684	-4.389	-2.720	-1.914	0.527	2.726	4.883	2.757	4.710	82.031
-2.335	-3.167	-1.454	-3.254	-3.104	-2.415	1.082	2.343	5.666	5.654	8.648	6.438	-1.471	-3.470	-2.958	-4.569	-3.762	-2.661	-3.481	-4.250	-4.691	-2.935	-2.112	1.101	3.243	5.811	3.550	5.551	85.938
-2.877	-3.626	-1.933	-3.591	-3.250	-2.592	1.382	2.591	6.153	6.326	9.474	7.240	-1.171	-3.413	-3.524	-5.148	-4.296	-3.149	-3.907	-4.743	-4.944	-3.145	-2.294	1.674	3.724	6.687	4.278	6.279	89.844
