FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.802	-0.820	-0.353	-1.840	-2.539	-1.898	-1.093	-1.647	-1.152	0.026	0.064	0.776	0.707	-0.522	-0.691	-0.955	0.634	2.161	-0.076	-0.280	-0.519	0.300	0.845	0.124	1.296	1.767	1.633	1.500	-199.219
-0.461	-0.578	-0.353	-1.326	-1.851	-1.480	-0.861	-1.573	-1.076	0.041	-0.038	0.428	0.836	-0.041	-0.105	-0.779	0.453	1.816	0.047	-0.043	-0.062	0.460	0.696	0.120	0.919	1.195	1.040	0.996	-195.312
-0.138	-0.342	-0.329	-0.851	-1.205	-1.074	-0.630	-1.494	-1.002	0.060	-0.130	0.118	0.954	0.410	0.426	-0.619	0.294	1.464	0.147	0.153	0.347	0.584	0.553	0.124	0.576	0.677	0.503	0.540	-191.406
0.146	-0.121	-0.269	-0.443	-0.632	-0.689	-0.401	-1.400	-0.928	0.082	-0.204	-0.121	1.047	0.799	0.850	-0.491	0.155	1.100	0.195	0.276	0.669	0.648	0.420	0.142	0.298	0.264	0.073	0.176	-187.500
0.370	0.076	-0.163	-0.117	-0.157	-0.328	-0.179	-1.276	-0.847	0.109	-0.255	-0.269	1.104	1.101	1.121	-0.406	0.023	0.725	0.172	0.310	0.880	0.630	0.299	0.172	0.106	-0.006	-0.212	-0.063	-183.594
0.518	0.243	-0.010	0.126	0.208	0.014	0.027	-1.110	-0.753	0.136	-0.280	-0.319	1.113	1.296	1.213	-0.366	-0.121	0.344	0.063	0.257	0.972	0.523	0.186	0.208	0.008	-0.118	-0.339	-0.168	-179.688
0.585	0.375	0.185	0.304	0.465	0.343	0.209	-0.893	-0.638	0.158	-0.284	-0.284	1.064	1.373	1.122	-0.365	-0.296	-0.028	-0.130	0.137	0.955	0.330	0.072	0.236	-0.001	-0.075	-0.316	-0.147	-175.781
0.572	0.473	0.411	0.441	0.628	0.665	0.353	-0.626	-0.501	0.166	-0.274	-0.189	0.949	1.329	0.869	-0.388	-0.511	-0.374	-0.395	-0.016	0.852	0.071	-0.048	0.239	0.057	0.094	-0.173	-0.025	-171.875
0.497	0.545	0.653	0.567	0.716	0.980	0.445	-0.318	-0.347	0.146	-0.263	-0.069	0.764	1.173	0.498	-0.414	-0.760	-0.671	-0.699	-0.163	0.694	-0.221	-0.180	0.199	0.155	0.348	0.041	0.157	-167.969
0.384	0.607	0.894	0.703	0.752	1.277	0.470	0.008	-0.192	0.089	-0.263	0.039	0.508	0.921	0.075	-0.423	-1.022	-0.898	-1.000	-0.266	0.514	-0.503	-0.317	0.106	0.261	0.633	0.269	0.356	-164.062
