FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.633	1.861	0.777	0.994	1.059	1.036	0.551	-0.237	-0.520	0.204	-0.977	-0.956	0.640	1.227	0.452	0.482	-0.107	-0.174	-0.621	0.507	0.911	0.073	-0.428	0.089	-1.580	-2.110	-0.013	-1.015	-199.219
0.797	1.831	0.868	1.147	1.112	0.925	0.276	-0.364	-0.754	-0.107	-1.171	-1.202	0.396	1.081	0.515	0.656	0.018	-0.108	-0.368	0.728	0.948	0.126	-0.195	-0.075	-1.512	-2.176	-0.216	-1.183	-195.312
0.934	1.785	0.965	1.271	1.139	0.815	0.008	-0.467	-0.951	-0.396	-1.324	-1.408	0.143	0.919	0.560	0.797	0.120	-0.025	-0.152	0.906	0.955	0.156	0.007	-0.246	-1.436	-2.227	-0.424	-1.338	-191.406
1.022	1.707	1.061	1.340	1.122	0.711	-0.237	-0.528	-1.079	-0.636	-1.400	-1.538	-0.119	0.731	0.576	0.878	0.187	0.090	0.004	1.007	0.909	0.150	0.155	-0.424	-1.349	-2.246	-0.633	-1.463	-187.500
1.050	1.589	1.146	1.336	1.050	0.614	-0.443	-0.535	-1.120	-0.808	-1.379	-1.573	-0.382	0.520	0.559	0.888	0.213	0.240	0.094	1.017	0.804	0.105	0.238	-0.606	-1.250	-2.221	-0.837	-1.547	-183.594
1.017	1.431	1.206	1.258	0.925	0.526	-0.595	-0.489	-1.074	-0.898	-1.260	-1.511	-0.629	0.296	0.515	0.831	0.208	0.415	0.128	0.941	0.649	0.033	0.258	-0.779	-1.141	-2.145	-1.022	-1.585	-179.688
0.932	1.239	1.224	1.113	0.759	0.443	-0.681	-0.401	-0.952	-0.898	-1.058	-1.363	-0.838	0.079	0.454	0.724	0.184	0.595	0.131	0.800	0.465	-0.044	0.228	-0.929	-1.027	-2.017	-1.174	-1.571	-175.781
0.808	1.021	1.185	0.916	0.567	0.361	-0.690	-0.288	-0.778	-0.811	-0.797	-1.150	-0.983	-0.107	0.388	0.588	0.159	0.755	0.128	0.625	0.278	-0.102	0.165	-1.035	-0.910	-1.832	-1.269	-1.502	-171.875
0.657	0.782	1.077	0.682	0.367	0.273	-0.619	-0.171	-0.576	-0.643	-0.507	-0.895	-1.038	-0.240	0.328	0.443	0.143	0.868	0.141	0.443	0.113	-0.122	0.091	-1.076	-0.790	-1.590	-1.285	-1.372	-167.969
0.489	0.525	0.895	0.427	0.174	0.173	-0.471	-0.067	-0.371	-0.406	-0.213	-0.617	-0.988	-0.306	0.276	0.303	0.141	0.915	0.180	0.274	-0.015	-0.091	0.022	-1.034	-0.664	-1.287	-1.198	-1.175	-164.062
0.307	0.251	0.641	0.163	-0.002	0.057	-0.258	0.011	-0.177	-0.117	0.067	-0.332	-0.824	-0.300	0.231	0.168	0.145	0.885	0.242	0.127	-0.102	-0.011	-0.027	-0.897	-0.526	-0.925	-0.998	-0.904	-160.156
0.111	-0.038	0.326	-0.100	-0.159	-0.076	0.002	0.059	-0.004	0.205	0.322	-0.046	-0.555	-0.229	0.183	0.032	0.141	0.775	0.308	-0.004	-0.154	0.105	-0.048	-0.665	-0.368	-0.509	-0.683	-0.560	-156.250
-0.099	-0.335	-0.030	-0.357	-0.298	-0.224	0.281	0.082	0.145	0.538	0.550	0.238	-0.202	-0.109	0.121	-0.115	0.110	0.593	0.352	-0.127	-0.186	0.233	-0.039	-0.351	-0.187	-0.053	-0.270	-0.148	-152.344
-0.323	-0.629	-0.401	-0.597	-0.421	-0.379	0.550	0.086	0.272	0.859	0.750	0.520	0.201	0.037	0.034	-0.281	0.034	0.354	0.350	-0.258	-0.216	0.347	-0.002	0.022	0.016	0.421	0.209	0.311	-148.438
-0.552	-0.898	-0.754	-0.811	-0.530	-0.530	0.781	0.082	0.377	1.145	0.923	0.794	0.613	0.185	-0.084	-0.468	-0.097	0.082	0.279	-0.403	-0.259	0.423	0.057	0.418	0.233	0.880	0.709	0.787	-144.531
-0.775	-1.121	-1.055	-0.984	-0.624	-0.661	0.948	0.078	0.460	1.371	1.064	1.050	0.991	0.312	-0.230	-0.667	-0.284	-0.195	0.134	-0.564	-0.322	0.442	0.127	0.796	0.451	1.291	1.178	1.241	-140.625
-0.972	-1.275	-1.273	-1.105	-0.700	-0.756	1.037	0.078	0.519	1.519	1.166	1.272	1.297	0.405	-0.392	-0.863	-0.512	-0.446	-0.078	-0.731	-0.403	0.400	0.197	1.119	0.649	1.618	1.569	1.631	-136.719
-1.124	-1.344	-1.388	-1.164	-0.753	-0.806	1.041	0.082	0.550	1.574	1.218	1.439	1.500	0.454	-0.551	-1.032	-0.753	-0.638	-0.328	-0.886	-0.492	0.305	0.258	1.353	0.808	1.831	1.841	1.918	-132.812
-1.211	-1.322	-1.389	-1.158	-0.779	-0.806	0.961	0.085	0.546	1.529	1.208	1.531	1.585	0.460	-0.680	-1.147	-0.969	-0.747	-0.577	-1.005	-0.569	0.174	0.302	1.480	0.910	1.912	1.970	2.070	-128.906
-1.218	-1.213	-1.283	-1.091	-0.778	-0.766	0.811	0.081	0.502	1.386	1.128	1.529	1.550	0.429	-0.757	-1.186	-1.117	-0.762	-0.777	-1.063	-0.615	0.036	0.327	1.493	0.943	1.857	1.951	2.070	-125.000
-1.139	-1.035	-1.089	-0.973	-0.751	-0.699	0.608	0.063	0.416	1.156	0.976	1.426	1.407	0.374	-0.762	-1.134	-1.162	-0.682	-0.889	-1.041	-0.611	-0.084	0.334	1.401	0.905	1.673	1.792	1.917	-121.094
-0.979	-0.812	-0.834	-0.821	-0.705	-0.627	0.373	0.028	0.292	0.860	0.762	1.226	1.178	0.305	-0.689	-0.989	-1.082	-0.524	-0.886	-0.930	-0.548	-0.164	0.323	1.219	0.802	1.382	1.517	1.627	-117.188
-0.752	-0.574	-0.552	-0.655	-0.646	-0.564	0.133	-0.022	0.143	0.525	0.506	0.948	0.892	0.235	-0.544	-0.764	-0.877	-0.317	-0.764	-0.737	-0.425	-0.195	0.296	0.970	0.645	1.011	1.160	1.229	-113.281
-0.481	-0.353	-0.271	-0.493	-0.578	-0.519	-0.089	-0.074	-0.012	0.186	0.243	0.622	0.581	0.170	-0.347	-0.486	-0.572	-0.095	-0.543	-0.480	-0.254	-0.178	0.250	0.675	0.449	0.589	0.755	0.761	-109.375
-0.197	-0.175	-0.015	-0.352	-0.505	-0.489	-0.271	-0.115	-0.145	-0.123	0.007	0.284	0.272	0.116	-0.127	-0.190	-0.208	0.108	-0.263	-0.191	-0.054	-0.128	0.182	0.356	0.231	0.147	0.335	0.266	-105.469
