FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
1.251	-0.136	-0.134	0.536	0.823	0.626	-0.165	-0.552	-0.264	-0.541	-0.302	-1.311	0.636	1.310	-0.042	0.437	0.755	0.022	0.718	1.573	1.533	0.698	-0.099	-0.693	-0.921	-1.621	-1.792	-1.781	-199.219
1.141	-0.187	-0.027	0.324	0.545	0.353	-0.287	-0.588	-0.355	-0.491	-0.497	-0.939	0.649	1.204	-0.075	0.168	0.416	0.016	0.566	1.225	1.316	0.590	0.088	-0.336	-0.622	-1.256	-1.268	-1.225	-195.312
1.044	-0.226	0.093	0.144	0.304	0.118	-0.403	-0.625	-0.445	-0.455	-0.691	-0.621	0.645	1.097	-0.108	-0.079	0.113	0.013	0.442	0.904	1.113	0.505	0.282	-0.009	-0.356	-0.933	-0.796	-0.733	-191.406
0.966	-0.247	0.229	0.016	0.126	-0.057	-0.503	-0.661	-0.532	-0.439	-0.878	-0.398	0.615	0.988	-0.144	-0.288	-0.125	0.017	0.360	0.628	0.935	0.454	0.468	0.268	-0.140	-0.680	-0.412	-0.352	-187.500
0.911	-0.250	0.372	-0.050	0.023	-0.163	-0.582	-0.692	-0.609	-0.440	-1.044	-0.289	0.555	0.876	-0.186	-0.449	-0.280	0.026	0.329	0.410	0.788	0.440	0.632	0.478	0.017	-0.508	-0.131	-0.105	-183.594
0.875	-0.241	0.508	-0.060	-0.008	-0.209	-0.634	-0.712	-0.666	-0.451	-1.169	-0.290	0.469	0.763	-0.236	-0.559	-0.346	0.038	0.344	0.255	0.678	0.461	0.763	0.619	0.115	-0.414	0.051	0.011	-179.688
0.848	-0.230	0.613	-0.030	0.017	-0.214	-0.659	-0.716	-0.693	-0.456	-1.233	-0.376	0.368	0.652	-0.292	-0.623	-0.333	0.045	0.391	0.161	0.604	0.505	0.854	0.697	0.161	-0.382	0.156	0.024	-175.781
0.818	-0.232	0.665	0.015	0.073	-0.203	-0.653	-0.699	-0.683	-0.441	-1.216	-0.507	0.270	0.548	-0.353	-0.651	-0.263	0.039	0.450	0.117	0.564	0.558	0.901	0.726	0.171	-0.384	0.218	-0.021	-171.875
0.771	-0.258	0.646	0.050	0.131	-0.201	-0.616	-0.656	-0.632	-0.391	-1.112	-0.640	0.194	0.460	-0.418	-0.657	-0.163	0.009	0.498	0.107	0.552	0.604	0.900	0.724	0.165	-0.391	0.276	-0.077	-167.969
0.700	-0.317	0.551	0.055	0.170	-0.223	-0.547	-0.587	-0.547	-0.302	-0.927	-0.735	0.158	0.394	-0.486	-0.655	-0.065	-0.049	0.516	0.112	0.562	0.628	0.849	0.712	0.166	-0.376	0.360	-0.102	-164.062
0.600	-0.407	0.386	0.019	0.175	-0.275	-0.446	-0.492	-0.437	-0.179	-0.679	-0.767	0.175	0.358	-0.553	-0.655	0.005	-0.137	0.492	0.117	0.587	0.619	0.748	0.703	0.191	-0.321	0.487	-0.072	-160.156
0.473	-0.517	0.169	-0.056	0.145	-0.347	-0.316	-0.378	-0.320	-0.039	-0.395	-0.726	0.246	0.356	-0.614	-0.660	0.030	-0.252	0.425	0.111	0.622	0.575	0.600	0.709	0.250	-0.221	0.657	0.018	-156.250
0.325	-0.629	-0.071	-0.157	0.091	-0.422	-0.165	-0.255	-0.212	0.093	-0.108	-0.617	0.363	0.387	-0.661	-0.669	0.003	-0.385	0.324	0.094	0.664	0.499	0.414	0.732	0.334	-0.089	0.853	0.155	-152.344
0.166	-0.721	-0.305	-0.261	0.032	-0.475	-0.002	-0.136	-0.128	0.189	0.153	-0.460	0.509	0.448	-0.681	-0.671	-0.070	-0.528	0.208	0.072	0.712	0.403	0.213	0.766	0.423	0.051	1.045	0.308	-148.438
0.009	-0.771	-0.501	-0.343	-0.008	-0.486	0.157	-0.038	-0.079	0.225	0.366	-0.285	0.660	0.531	-0.664	-0.652	-0.174	-0.672	0.102	0.058	0.767	0.308	0.026	0.801	0.487	0.167	1.195	0.442	-144.531
-0.133	-0.763	-0.638	-0.380	-0.011	-0.440	0.296	0.029	-0.068	0.183	0.513	-0.120	0.791	0.624	-0.606	-0.597	-0.286	-0.811	0.028	0.070	0.830	0.233	-0.113	0.822	0.498	0.231	1.272	0.525	-140.625
-0.247	-0.692	-0.705	-0.355	0.038	-0.340	0.400	0.054	-0.091	0.063	0.591	0.007	0.883	0.716	-0.508	-0.496	-0.379	-0.940	0.004	0.119	0.900	0.195	-0.174	0.812	0.437	0.220	1.254	0.534	-136.719
-0.322	-0.562	-0.701	-0.263	0.140	-0.197	0.461	0.036	-0.141	-0.121	0.599	0.079	0.921	0.795	-0.380	-0.344	-0.432	-1.054	0.039	0.214	0.975	0.203	-0.145	0.759	0.301	0.129	1.132	0.459	-132.812
