FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.242	1.996	0.365	1.379	1.098	0.810	0.046	-0.730	-0.706	-0.540	-0.662	-0.471	0.071	0.197	0.567	0.840	0.564	0.504	-0.042	0.764	0.318	0.385	0.547	-0.442	-0.442	-0.701	-0.242	-0.943	-199.219
0.477	1.619	0.442	1.115	0.917	0.566	0.026	-0.691	-0.757	-0.542	-0.764	-0.774	0.089	0.305	0.615	0.862	0.557	0.562	0.075	0.902	0.465	0.409	0.528	-0.433	-0.407	-1.003	-0.473	-1.253	-195.312
0.703	1.280	0.510	0.885	0.762	0.361	0.012	-0.633	-0.794	-0.548	-0.874	-1.083	0.098	0.402	0.670	0.887	0.569	0.623	0.206	1.031	0.603	0.435	0.512	-0.433	-0.395	-1.302	-0.699	-1.567	-191.406
0.908	1.005	0.566	0.713	0.644	0.221	0.004	-0.545	-0.805	-0.559	-0.993	-1.395	0.094	0.479	0.732	0.915	0.611	0.690	0.359	1.136	0.721	0.463	0.504	-0.445	-0.422	-1.589	-0.910	-1.875	-187.500
1.076	0.812	0.600	0.608	0.568	0.157	0.002	-0.429	-0.783	-0.572	-1.112	-1.696	0.074	0.533	0.801	0.944	0.689	0.760	0.535	1.210	0.812	0.495	0.507	-0.465	-0.495	-1.847	-1.093	-2.166	-183.594
1.196	0.703	0.600	0.570	0.530	0.160	0.001	-0.296	-0.730	-0.581	-1.217	-1.967	0.044	0.563	0.874	0.973	0.804	0.819	0.733	1.249	0.877	0.533	0.521	-0.485	-0.607	-2.057	-1.231	-2.421	-179.688
1.258	0.667	0.551	0.583	0.515	0.207	-0.003	-0.165	-0.654	-0.578	-1.288	-2.180	0.011	0.576	0.942	1.001	0.944	0.851	0.939	1.256	0.918	0.576	0.544	-0.495	-0.744	-2.199	-1.308	-2.613	-175.781
1.256	0.679	0.446	0.624	0.507	0.266	-0.013	-0.060	-0.563	-0.552	-1.304	-2.307	-0.012	0.580	0.994	1.021	1.088	0.838	1.133	1.234	0.940	0.623	0.565	-0.479	-0.880	-2.251	-1.305	-2.716	-171.875
1.191	0.703	0.284	0.666	0.489	0.305	-0.027	0.001	-0.469	-0.494	-1.249	-2.323	-0.014	0.587	1.019	1.022	1.207	0.770	1.284	1.183	0.944	0.669	0.571	-0.428	-0.986	-2.195	-1.213	-2.708	-167.969
1.068	0.702	0.080	0.678	0.449	0.299	-0.039	0.007	-0.376	-0.396	-1.116	-2.210	0.017	0.604	1.005	0.988	1.268	0.643	1.359	1.101	0.932	0.704	0.542	-0.332	-1.036	-2.021	-1.026	-2.572	-164.062
