FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.583	-0.026	-0.485	-0.214	-0.556	-0.503	-0.151	-0.447	-0.059	0.229	0.021	-0.175	0.317	0.362	0.631	0.360	1.403	1.106	1.660	0.181	0.399	1.967	1.523	1.185	-0.001	-0.500	-0.176	-0.286	-199.219
-0.445	-0.062	-0.345	-0.194	-0.327	-0.295	0.007	-0.140	0.102	0.376	0.215	0.043	0.295	0.249	0.597	0.190	0.806	0.787	1.052	-0.075	0.150	1.384	1.067	0.836	0.099	-0.502	-0.116	-0.162	-195.312
-0.314	-0.090	-0.218	-0.177	-0.125	-0.111	0.136	0.133	0.238	0.492	0.375	0.230	0.258	0.137	0.564	0.035	0.266	0.494	0.498	-0.305	-0.080	0.852	0.648	0.501	0.189	-0.494	-0.067	-0.049	-191.406
-0.195	-0.094	-0.112	-0.157	0.033	0.029	0.214	0.342	0.328	0.552	0.473	0.360	0.197	0.028	0.537	-0.085	-0.159	0.253	0.048	-0.483	-0.274	0.412	0.298	0.195	0.261	-0.468	-0.037	0.042	-187.500
-0.093	-0.064	-0.031	-0.132	0.138	0.117	0.229	0.463	0.354	0.540	0.492	0.418	0.106	-0.075	0.520	-0.157	-0.436	0.079	-0.267	-0.588	-0.418	0.092	0.036	-0.070	0.307	-0.422	-0.031	0.104	-183.594
-0.010	0.003	0.024	-0.096	0.195	0.153	0.180	0.489	0.308	0.454	0.425	0.398	-0.009	-0.167	0.509	-0.175	-0.560	-0.023	-0.437	-0.614	-0.508	-0.101	-0.128	-0.283	0.326	-0.362	-0.047	0.134	-179.688
0.052	0.107	0.059	-0.046	0.219	0.151	0.080	0.423	0.194	0.305	0.281	0.308	-0.137	-0.242	0.494	-0.140	-0.547	-0.063	-0.474	-0.565	-0.543	-0.173	-0.201	-0.437	0.316	-0.297	-0.080	0.131	-175.781
0.092	0.238	0.083	0.025	0.230	0.129	-0.048	0.285	0.027	0.116	0.084	0.165	-0.261	-0.292	0.466	-0.064	-0.434	-0.058	-0.403	-0.451	-0.526	-0.146	-0.198	-0.529	0.273	-0.242	-0.125	0.099	-171.875
0.113	0.386	0.106	0.120	0.251	0.111	-0.176	0.104	-0.166	-0.080	-0.135	-0.006	-0.361	-0.311	0.415	0.041	-0.266	-0.028	-0.259	-0.292	-0.465	-0.047	-0.142	-0.559	0.193	-0.214	-0.174	0.043	-167.969
0.115	0.536	0.139	0.242	0.298	0.120	-0.275	-0.083	-0.354	-0.248	-0.338	-0.178	-0.418	-0.294	0.335	0.159	-0.084	0.006	-0.079	-0.107	-0.364	0.093	-0.058	-0.534	0.074	-0.230	-0.222	-0.031	-164.062
0.101	0.674	0.188	0.388	0.378	0.168	-0.320	-0.238	-0.500	-0.356	-0.490	-0.324	-0.419	-0.240	0.226	0.273	0.076	0.029	0.104	0.082	-0.230	0.243	0.031	-0.464	-0.085	-0.297	-0.263	-0.116	-160.156
0.076	0.785	0.255	0.546	0.485	0.261	-0.298	-0.329	-0.577	-0.383	-0.566	-0.425	-0.358	-0.151	0.092	0.369	0.192	0.032	0.264	0.257	-0.072	0.377	0.105	-0.363	-0.278	-0.417	-0.298	-0.206	-156.250
0.046	0.857	0.336	0.698	0.603	0.389	-0.205	-0.333	-0.567	-0.320	-0.556	-0.469	-0.242	-0.035	-0.057	0.438	0.255	0.009	0.384	0.404	0.101	0.476	0.150	-0.246	-0.492	-0.583	-0.323	-0.294	-152.344
0.014	0.882	0.422	0.821	0.711	0.537	-0.049	-0.240	-0.465	-0.177	-0.463	-0.454	-0.084	0.094	-0.210	0.470	0.265	-0.036	0.456	0.510	0.273	0.532	0.163	-0.130	-0.710	-0.775	-0.339	-0.375	-148.438
-0.016	0.856	0.502	0.896	0.784	0.682	0.148	-0.061	-0.286	0.025	-0.308	-0.385	0.098	0.224	-0.358	0.457	0.229	-0.099	0.477	0.568	0.429	0.545	0.144	-0.027	-0.906	-0.968	-0.341	-0.443	-144.531
-0.042	0.778	0.563	0.906	0.808	0.801	0.363	0.181	-0.056	0.254	-0.118	-0.275	0.283	0.340	-0.494	0.396	0.153	-0.173	0.451	0.569	0.550	0.519	0.102	0.057	-1.056	-1.130	-0.325	-0.490	-140.625
-0.063	0.651	0.593	0.844	0.773	0.875	0.567	0.448	0.190	0.476	0.074	-0.135	0.453	0.433	-0.613	0.285	0.047	-0.250	0.384	0.512	0.621	0.463	0.049	0.120	-1.134	-1.224	-0.280	-0.509	-136.719
