FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.028	-0.879	0.208	0.265	1.009	-0.054	0.811	-0.461	-0.299	1.114	-0.083	-0.678	1.317	1.173	1.565	0.714	0.477	-0.655	-0.094	1.082	1.433	0.760	-0.174	-0.113	-0.962	-1.302	-0.656	-0.820	-199.219
0.345	-0.109	0.290	0.419	0.859	0.084	0.511	-0.551	-0.471	0.702	-0.461	-0.779	1.069	1.036	1.362	0.757	0.462	-0.478	0.006	1.059	1.335	0.699	-0.218	-0.033	-0.856	-1.250	-0.615	-0.898	-195.312
0.631	0.565	0.354	0.555	0.720	0.195	0.242	-0.618	-0.612	0.327	-0.797	-0.867	0.842	0.910	1.178	0.789	0.446	-0.326	0.106	1.033	1.240	0.644	-0.251	0.042	-0.753	-1.200	-0.576	-0.965	-191.406
0.855	1.080	0.388	0.654	0.599	0.267	0.031	-0.643	-0.700	0.018	-1.052	-0.930	0.653	0.806	1.030	0.800	0.425	-0.220	0.201	1.003	1.149	0.598	-0.267	0.101	-0.656	-1.153	-0.544	-1.011	-187.500
0.997	1.399	0.385	0.708	0.502	0.299	-0.103	-0.617	-0.722	-0.203	-1.202	-0.958	0.515	0.730	0.927	0.786	0.397	-0.171	0.285	0.965	1.065	0.558	-0.266	0.138	-0.573	-1.110	-0.520	-1.029	-183.594
1.049	1.511	0.345	0.714	0.434	0.301	-0.152	-0.541	-0.680	-0.327	-1.239	-0.948	0.431	0.685	0.867	0.746	0.362	-0.176	0.347	0.915	0.990	0.523	-0.249	0.148	-0.508	-1.069	-0.505	-1.016	-179.688
1.016	1.434	0.274	0.677	0.396	0.285	-0.121	-0.429	-0.585	-0.352	-1.169	-0.897	0.396	0.669	0.842	0.684	0.322	-0.223	0.379	0.853	0.923	0.489	-0.222	0.130	-0.465	-1.028	-0.498	-0.972	-175.781
0.918	1.208	0.182	0.607	0.383	0.264	-0.023	-0.298	-0.459	-0.290	-1.011	-0.809	0.400	0.676	0.835	0.605	0.283	-0.294	0.376	0.776	0.866	0.452	-0.188	0.085	-0.444	-0.978	-0.492	-0.897	-171.875
0.776	0.887	0.083	0.517	0.384	0.245	0.118	-0.172	-0.326	-0.163	-0.791	-0.691	0.428	0.696	0.830	0.514	0.251	-0.365	0.337	0.685	0.815	0.412	-0.155	0.022	-0.439	-0.912	-0.479	-0.797	-167.969
0.616	0.533	-0.011	0.417	0.387	0.229	0.277	-0.070	-0.212	0.002	-0.539	-0.555	0.466	0.718	0.811	0.418	0.231	-0.421	0.265	0.581	0.768	0.368	-0.126	-0.051	-0.440	-0.822	-0.450	-0.678	-164.062
0.456	0.203	-0.093	0.315	0.377	0.210	0.425	-0.008	-0.134	0.174	-0.283	-0.412	0.501	0.730	0.768	0.319	0.223	-0.450	0.169	0.469	0.722	0.323	-0.104	-0.120	-0.435	-0.701	-0.396	-0.547	-160.156
0.310	-0.056	-0.159	0.215	0.345	0.187	0.542	0.006	-0.104	0.329	-0.049	-0.274	0.524	0.726	0.699	0.222	0.223	-0.448	0.058	0.353	0.674	0.282	-0.088	-0.171	-0.409	-0.547	-0.309	-0.413	-156.250
0.184	-0.219	-0.211	0.120	0.287	0.155	0.612	-0.028	-0.121	0.445	0.143	-0.152	0.530	0.702	0.605	0.128	0.221	-0.421	-0.054	0.241	0.620	0.249	-0.078	-0.190	-0.353	-0.363	-0.187	-0.282	-152.344
0.081	-0.285	-0.254	0.029	0.204	0.116	0.629	-0.102	-0.177	0.515	0.282	-0.051	0.517	0.659	0.494	0.038	0.206	-0.376	-0.154	0.139	0.561	0.230	-0.066	-0.168	-0.258	-0.158	-0.034	-0.162	-148.438
-0.002	-0.273	-0.295	-0.058	0.102	0.071	0.597	-0.201	-0.255	0.537	0.364	0.027	0.486	0.600	0.377	-0.046	0.167	-0.323	-0.232	0.052	0.494	0.228	-0.047	-0.098	-0.126	0.056	0.140	-0.055	-144.531
-0.069	-0.214	-0.338	-0.143	-0.010	0.021	0.525	-0.305	-0.338	0.514	0.391	0.084	0.439	0.530	0.265	-0.121	0.101	-0.273	-0.279	-0.017	0.422	0.244	-0.012	0.017	0.036	0.264	0.323	0.036	-140.625
