FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-1.178	-0.543	-0.193	-0.313	0.155	-0.310	0.153	1.094	0.376	-0.302	-0.259	-0.519	0.225	0.424	-0.619	-0.046	-0.134	0.119	-0.079	0.607	0.731	-0.048	-0.006	0.142	0.787	0.142	-0.292	-0.490	-199.219
-1.019	-0.476	-0.123	-0.235	0.291	-0.122	0.032	0.997	0.131	-0.447	-0.445	-0.637	0.100	0.373	-0.399	0.022	-0.172	0.127	0.080	0.579	0.657	0.074	0.259	0.151	0.647	-0.007	-0.392	-0.604	-195.312
-0.873	-0.406	-0.064	-0.158	0.417	0.034	-0.076	0.888	-0.099	-0.577	-0.616	-0.745	-0.010	0.328	-0.196	0.091	-0.191	0.143	0.232	0.558	0.596	0.194	0.509	0.169	0.509	-0.146	-0.480	-0.716	-191.406
-0.748	-0.331	-0.025	-0.085	0.520	0.136	-0.163	0.758	-0.297	-0.679	-0.759	-0.834	-0.087	0.297	-0.023	0.159	-0.181	0.166	0.372	0.547	0.557	0.308	0.727	0.202	0.375	-0.268	-0.548	-0.819	-187.500
-0.650	-0.249	-0.008	-0.019	0.593	0.175	-0.218	0.602	-0.455	-0.742	-0.863	-0.893	-0.121	0.283	0.112	0.223	-0.140	0.195	0.492	0.548	0.545	0.412	0.898	0.251	0.248	-0.368	-0.586	-0.909	-183.594
-0.577	-0.164	-0.014	0.039	0.630	0.154	-0.240	0.423	-0.566	-0.761	-0.922	-0.916	-0.107	0.291	0.205	0.283	-0.071	0.226	0.589	0.562	0.564	0.503	1.012	0.310	0.130	-0.445	-0.589	-0.975	-179.688
-0.522	-0.079	-0.036	0.088	0.632	0.086	-0.227	0.227	-0.630	-0.737	-0.932	-0.897	-0.050	0.319	0.257	0.336	0.014	0.254	0.663	0.587	0.611	0.576	1.063	0.368	0.020	-0.498	-0.556	-1.012	-175.781
-0.479	0.001	-0.066	0.130	0.603	-0.008	-0.183	0.028	-0.651	-0.673	-0.899	-0.839	0.044	0.366	0.274	0.383	0.105	0.269	0.712	0.618	0.678	0.627	1.052	0.415	-0.079	-0.532	-0.490	-1.013	-171.875
-0.438	0.072	-0.093	0.164	0.550	-0.109	-0.117	-0.158	-0.639	-0.579	-0.826	-0.748	0.160	0.428	0.266	0.423	0.188	0.267	0.738	0.651	0.757	0.656	0.983	0.443	-0.168	-0.550	-0.400	-0.979	-167.969
-0.394	0.132	-0.109	0.192	0.484	-0.198	-0.037	-0.320	-0.605	-0.464	-0.723	-0.633	0.281	0.497	0.247	0.457	0.255	0.241	0.742	0.681	0.836	0.662	0.866	0.447	-0.247	-0.561	-0.297	-0.915	-164.062
