FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-1.105	0.534	0.058	0.141	1.200	0.418	0.330	-0.576	-0.255	0.053	-0.533	-0.512	0.651	0.590	0.130	-0.004	-0.897	1.412	0.293	0.787	1.487	0.238	1.039	0.296	0.163	-0.346	-0.236	-0.361	-199.219
-0.623	0.309	0.097	0.042	1.124	0.463	0.300	-0.453	-0.226	0.153	-0.341	-0.312	0.568	0.496	0.101	-0.072	-0.567	1.144	0.325	0.654	1.351	0.446	0.739	0.121	-0.104	-0.372	-0.393	-0.198	-195.312
-0.192	0.122	0.128	-0.047	1.042	0.493	0.271	-0.341	-0.193	0.247	-0.154	-0.132	0.500	0.416	0.082	-0.128	-0.272	0.868	0.352	0.531	1.219	0.640	0.447	-0.030	-0.329	-0.390	-0.520	-0.051	-191.406
0.149	0.004	0.147	-0.117	0.950	0.496	0.242	-0.252	-0.154	0.328	0.018	0.006	0.455	0.360	0.077	-0.159	-0.036	0.590	0.373	0.427	1.094	0.811	0.176	-0.137	-0.475	-0.397	-0.596	0.061	-187.500
0.376	-0.032	0.153	-0.165	0.843	0.463	0.210	-0.194	-0.115	0.386	0.164	0.090	0.434	0.334	0.085	-0.161	0.128	0.321	0.386	0.349	0.977	0.951	-0.062	-0.188	-0.520	-0.386	-0.607	0.128	-183.594
0.486	0.008	0.141	-0.193	0.718	0.388	0.170	-0.174	-0.086	0.410	0.265	0.116	0.434	0.339	0.103	-0.134	0.217	0.073	0.392	0.299	0.872	1.056	-0.252	-0.178	-0.454	-0.352	-0.547	0.150	-179.688
0.496	0.104	0.112	-0.210	0.573	0.270	0.116	-0.193	-0.079	0.392	0.304	0.086	0.445	0.368	0.126	-0.084	0.244	-0.135	0.398	0.275	0.783	1.129	-0.382	-0.113	-0.284	-0.288	-0.423	0.138	-175.781
0.434	0.223	0.066	-0.227	0.410	0.110	0.042	-0.250	-0.105	0.327	0.269	0.010	0.455	0.411	0.150	-0.019	0.231	-0.284	0.409	0.273	0.709	1.173	-0.438	-0.003	-0.034	-0.193	-0.249	0.106	-171.875
0.334	0.328	0.006	-0.255	0.231	-0.083	-0.053	-0.340	-0.173	0.214	0.158	-0.097	0.451	0.453	0.170	0.050	0.206	-0.354	0.435	0.287	0.651	1.196	-0.410	0.134	0.259	-0.071	-0.046	0.068	-167.969
0.230	0.390	-0.063	-0.300	0.046	-0.293	-0.168	-0.456	-0.282	0.065	-0.018	-0.219	0.424	0.482	0.186	0.117	0.193	-0.334	0.482	0.308	0.604	1.203	-0.296	0.280	0.553	0.068	0.163	0.036	-164.062
0.142	0.393	-0.132	-0.362	-0.133	-0.501	-0.292	-0.586	-0.420	-0.105	-0.232	-0.334	0.371	0.485	0.195	0.174	0.208	-0.229	0.551	0.330	0.563	1.197	-0.101	0.414	0.806	0.208	0.356	0.015	-160.156
0.082	0.337	-0.194	-0.434	-0.290	-0.682	-0.411	-0.716	-0.566	-0.271	-0.446	-0.422	0.296	0.461	0.195	0.217	0.255	-0.060	0.633	0.346	0.523	1.179	0.159	0.522	0.984	0.331	0.516	0.009	-156.250
0.047	0.238	-0.242	-0.505	-0.410	-0.813	-0.505	-0.829	-0.690	-0.403	-0.618	-0.468	0.209	0.411	0.180	0.245	0.320	0.134	0.713	0.350	0.481	1.146	0.456	0.593	1.064	0.423	0.631	0.016	-152.344
0.026	0.120	-0.273	-0.564	-0.483	-0.878	-0.554	-0.911	-0.763	-0.475	-0.711	-0.459	0.129	0.348	0.147	0.255	0.384	0.306	0.770	0.337	0.434	1.095	0.757	0.625	1.045	0.472	0.697	0.035	-148.438
0.004	0.012	-0.290	-0.600	-0.504	-0.870	-0.544	-0.948	-0.762	-0.470	-0.704	-0.392	0.071	0.285	0.093	0.245	0.421	0.410	0.784	0.305	0.386	1.023	1.027	0.622	0.935	0.477	0.717	0.063	-144.531
-0.037	-0.065	-0.296	-0.611	-0.477	-0.794	-0.469	-0.936	-0.678	-0.383	-0.596	-0.273	0.049	0.236	0.024	0.214	0.415	0.418	0.743	0.253	0.339	0.933	1.235	0.591	0.757	0.444	0.699	0.099	-140.625
-0.107	-0.101	-0.296	-0.597	-0.414	-0.667	-0.332	-0.874	-0.520	-0.225	-0.412	-0.115	0.070	0.210	-0.047	0.161	0.358	0.325	0.646	0.182	0.296	0.828	1.357	0.543	0.539	0.383	0.652	0.138	-136.719
-0.211	-0.098	-0.293	-0.565	-0.332	-0.511	-0.152	-0.772	-0.310	-0.020	-0.187	0.061	0.130	0.209	-0.104	0.087	0.257	0.154	0.500	0.095	0.259	0.716	1.382	0.486	0.308	0.307	0.585	0.177	-132.812
-0.341	-0.067	-0.284	-0.524	-0.250	-0.353	0.047	-0.641	-0.079	0.200	0.033	0.233	0.218	0.226	-0.134	-0.005	0.130	-0.053	0.327	-0.003	0.225	0.604	1.306	0.426	0.087	0.231	0.507	0.212	-128.906
-0.479	-0.025	-0.263	-0.480	-0.182	-0.214	0.236	-0.492	0.140	0.402	0.209	0.378	0.316	0.247	-0.129	-0.104	0.002	-0.247	0.150	-0.105	0.190	0.498	1.136	0.368	-0.105	0.163	0.423	0.238	-125.000
-0.597	0.012	-0.221	-0.439	-0.137	-0.113	0.388	-0.339	0.321	0.556	0.315	0.479	0.402	0.259	-0.090	-0.201	-0.102	-0.386	-0.009	-0.202	0.147	0.400	0.888	0.310	-0.260	0.110	0.335	0.254	-121.094
-0.670	0.034	-0.149	-0.404	-0.117	-0.057	0.483	-0.188	0.447	0.647	0.343	0.525	0.458	0.247	-0.029	-0.281	-0.165	-0.444	-0.131	-0.285	0.091	0.310	0.582	0.250	-0.372	0.069	0.246	0.256	-117.188
-0.676	0.041	-0.046	-0.372	-0.117	-0.044	0.513	-0.047	0.515	0.667	0.303	0.513	0.474	0.205	0.036	-0.331	-0.179	-0.417	-0.207	-0.347	0.018	0.229	0.247	0.187	-0.442	0.038	0.156	0.246	-113.281
-0.609	0.035	0.084	-0.344	-0.129	-0.066	0.481	0.081	0.531	0.623	0.216	0.449	0.444	0.135	0.089	-0.342	-0.149	-0.320	-0.239	-0.381	-0.069	0.155	-0.086	0.119	-0.474	0.012	0.065	0.225	-109.375
-0.480	0.021	0.227	-0.315	-0.142	-0.109	0.399	0.193	0.503	0.530	0.108	0.345	0.374	0.046	0.119	-0.312	-0.093	-0.180	-0.240	-0.385	-0.165	0.088	-0.384	0.048	-0.475	-0.012	-0.023	0.198	-105.469
-0.316	0.001	0.362	-0.288	-0.147	-0.159	0.285	0.284	0.445	0.406	0.004	0.217	0.276	-0.047	0.124	-0.248	-0.033	-0.032	-0.224	-0.360	-0.259	0.030	-0.616	-0.022	-0.450	-0.032	-0.102	0.173	-101.562
-0.150	-0.025	0.466	-0.259	-0.141	-0.203	0.159	0.348	0.365	0.268	-0.080	0.085	0.167	-0.126	0.112	-0.160	0.008	0.092	-0.210	-0.310	-0.340	-0.018	-0.758	-0.083	-0.407	-0.043	-0.163	0.158	-97.656
-0.015	-0.059	0.523	-0.230	-0.123	-0.231	0.036	0.378	0.269	0.133	-0.140	-0.037	0.063	-0.177	0.095	-0.064	0.015	0.166	-0.208	-0.242	-0.396	-0.055	-0.795	-0.126	-0.350	-0.040	-0.198	0.159	-93.750
0.067	-0.102	0.524	-0.197	-0.097	-0.236	-0.072	0.370	0.162	0.008	-0.176	-0.136	-0.024	-0.190	0.083	0.027	-0.014	0.173	-0.221	-0.162	-0.423	-0.082	-0.727	-0.145	-0.287	-0.017	-0.200	0.176	-89.844
0.092	-0.152	0.473	-0.158	-0.069	-0.219	-0.158	0.324	0.051	-0.100	-0.193	-0.207	-0.087	-0.167	0.081	0.100	-0.069	0.113	-0.242	-0.080	-0.421	-0.105	-0.566	-0.137	-0.223	0.026	-0.168	0.204	-85.938
0.070	-0.199	0.384	-0.111	-0.046	-0.180	-0.220	0.247	-0.054	-0.187	-0.195	-0.250	-0.125	-0.115	0.085	0.149	-0.132	-0.001	-0.261	-0.004	-0.399	-0.132	-0.337	-0.105	-0.163	0.082	-0.107	0.229	-82.031
0.026	-0.234	0.278	-0.055	-0.034	-0.124	-0.257	0.155	-0.138	-0.250	-0.180	-0.267	-0.143	-0.051	0.082	0.173	-0.185	-0.145	-0.268	0.056	-0.370	-0.173	-0.074	-0.058	-0.112	0.143	-0.023	0.235	-78.125
-0.017	-0.244	0.175	0.009	-0.035	-0.057	-0.266	0.069	-0.186	-0.283	-0.143	-0.264	-0.148	0.006	0.057	0.171	-0.215	-0.290	-0.260	0.092	-0.350	-0.240	0.183	-0.006	-0.072	0.198	0.072	0.211	-74.219
-0.042	-0.224	0.093	0.079	-0.047	0.018	-0.248	0.011	-0.182	-0.282	-0.077	-0.244	-0.149	0.041	0.000	0.146	-0.221	-0.406	-0.242	0.098	-0.352	-0.340	0.396	0.040	-0.045	0.237	0.167	0.151	-70.312
-0.042	-0.175	0.045	0.151	-0.066	0.096	-0.201	0.001	-0.120	-0.245	0.018	-0.211	-0.151	0.038	-0.089	0.100	-0.214	-0.477	-0.226	0.070	-0.385	-0.475	0.535	0.071	-0.028	0.258	0.252	0.061	-66.406
-0.022	-0.106	0.031	0.219	-0.084	0.176	-0.129	0.051	-0.004	-0.175	0.138	-0.167	-0.161	-0.005	-0.199	0.034	-0.212	-0.497	-0.229	0.007	-0.450	-0.642	0.579	0.082	-0.019	0.261	0.320	-0.046	-62.500
0.006	-0.038	0.047	0.280	-0.096	0.255	-0.037	0.162	0.152	-0.080	0.272	-0.112	-0.181	-0.087	-0.313	-0.049	-0.233	-0.479	-0.267	-0.087	-0.541	-0.826	0.520	0.073	-0.012	0.250	0.368	-0.147	-58.594
0.033	0.009	0.080	0.330	-0.096	0.329	0.066	0.323	0.326	0.025	0.403	-0.045	-0.212	-0.197	-0.408	-0.143	-0.289	-0.445	-0.347	-0.202	-0.647	-1.010	0.365	0.049	-0.003	0.234	0.393	-0.222	-54.688
