FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.908	0.147	-0.282	0.101	0.088	0.672	-0.076	-1.103	-0.400	0.063	-0.429	-0.703	0.556	0.829	-0.078	0.288	-0.229	-0.265	0.115	0.660	0.875	0.573	0.444	0.164	0.110	0.025	-0.116	0.205	-199.219
-0.645	0.076	-0.180	0.040	0.115	0.613	-0.084	-1.020	-0.308	0.135	-0.439	-0.571	0.383	0.612	-0.141	0.105	-0.260	-0.181	0.037	0.360	0.635	0.373	0.341	0.027	0.156	0.177	-0.147	0.293	-195.312
-0.414	0.003	-0.092	-0.022	0.135	0.547	-0.089	-0.933	-0.212	0.199	-0.431	-0.445	0.224	0.415	-0.191	-0.058	-0.284	-0.105	-0.026	0.089	0.418	0.198	0.260	-0.091	0.191	0.306	-0.176	0.370	-191.406
-0.233	-0.071	-0.030	-0.086	0.142	0.471	-0.091	-0.842	-0.113	0.253	-0.396	-0.330	0.092	0.258	-0.220	-0.186	-0.297	-0.040	-0.061	-0.128	0.241	0.065	0.213	-0.176	0.206	0.393	-0.200	0.427	-187.500
-0.112	-0.148	-0.002	-0.149	0.135	0.384	-0.087	-0.747	-0.015	0.295	-0.330	-0.231	-0.002	0.151	-0.226	-0.269	-0.294	0.014	-0.062	-0.275	0.117	-0.014	0.204	-0.217	0.198	0.426	-0.215	0.457	-183.594
-0.051	-0.225	-0.013	-0.212	0.115	0.289	-0.078	-0.652	0.076	0.324	-0.237	-0.147	-0.053	0.100	-0.213	-0.306	-0.276	0.057	-0.029	-0.349	0.053	-0.039	0.225	-0.213	0.171	0.410	-0.216	0.456	-179.688
-0.042	-0.301	-0.061	-0.270	0.086	0.194	-0.066	-0.562	0.150	0.346	-0.128	-0.073	-0.058	0.103	-0.191	-0.302	-0.242	0.089	0.032	-0.357	0.044	-0.014	0.263	-0.164	0.135	0.359	-0.196	0.428	-175.781
-0.072	-0.375	-0.140	-0.322	0.054	0.106	-0.052	-0.485	0.198	0.365	-0.018	-0.006	-0.023	0.151	-0.172	-0.268	-0.198	0.109	0.110	-0.315	0.082	0.046	0.298	-0.080	0.102	0.295	-0.147	0.382	-171.875
-0.127	-0.442	-0.240	-0.362	0.025	0.036	-0.035	-0.426	0.214	0.385	0.080	0.058	0.046	0.229	-0.167	-0.220	-0.149	0.116	0.192	-0.245	0.149	0.125	0.312	0.028	0.084	0.239	-0.066	0.328	-167.969
-0.195	-0.499	-0.348	-0.388	0.004	-0.009	-0.014	-0.384	0.198	0.410	0.154	0.124	0.136	0.319	-0.181	-0.173	-0.104	0.106	0.264	-0.170	0.227	0.204	0.293	0.147	0.087	0.208	0.046	0.279	-164.062
-0.264	-0.542	-0.449	-0.400	-0.007	-0.027	0.012	-0.355	0.156	0.441	0.202	0.190	0.235	0.405	-0.217	-0.139	-0.071	0.076	0.315	-0.111	0.296	0.266	0.236	0.261	0.113	0.211	0.185	0.247	-160.156
-0.324	-0.570	-0.529	-0.400	-0.011	-0.018	0.043	-0.328	0.100	0.476	0.226	0.257	0.328	0.468	-0.269	-0.128	-0.057	0.027	0.335	-0.082	0.341	0.299	0.145	0.357	0.157	0.246	0.338	0.238	-156.250
-0.365	-0.582	-0.580	-0.393	-0.013	0.008	0.078	-0.290	0.044	0.509	0.234	0.322	0.398	0.498	-0.328	-0.144	-0.067	-0.038	0.320	-0.087	0.350	0.296	0.033	0.422	0.212	0.304	0.493	0.256	-152.344
-0.384	-0.581	-0.595	-0.386	-0.020	0.042	0.112	-0.229	0.004	0.532	0.239	0.384	0.435	0.486	-0.385	-0.185	-0.103	-0.113	0.268	-0.128	0.320	0.259	-0.085	0.450	0.269	0.375	0.636	0.300	-148.438
-0.379	-0.569	-0.575	-0.387	-0.039	0.070	0.140	-0.141	-0.006	0.538	0.255	0.443	0.431	0.432	-0.430	-0.250	-0.162	-0.191	0.186	-0.195	0.249	0.194	-0.191	0.437	0.319	0.447	0.755	0.365	-144.531
-0.355	-0.554	-0.525	-0.402	-0.072	0.082	0.160	-0.027	0.023	0.522	0.292	0.500	0.383	0.342	-0.460	-0.331	-0.239	-0.268	0.082	-0.279	0.145	0.113	-0.272	0.388	0.354	0.511	0.843	0.448	-140.625
-0.317	-0.539	-0.453	-0.434	-0.119	0.071	0.168	0.104	0.095	0.483	0.355	0.556	0.298	0.225	-0.475	-0.422	-0.326	-0.338	-0.034	-0.365	0.017	0.027	-0.322	0.309	0.372	0.562	0.896	0.544	-136.719
-0.275	-0.529	-0.371	-0.481	-0.177	0.035	0.164	0.237	0.203	0.424	0.446	0.612	0.187	0.096	-0.480	-0.514	-0.418	-0.397	-0.150	-0.440	-0.119	-0.053	-0.342	0.212	0.371	0.598	0.912	0.647	-132.812
-0.233	-0.521	-0.288	-0.535	-0.236	-0.022	0.150	0.355	0.335	0.350	0.554	0.662	0.066	-0.030	-0.478	-0.597	-0.506	-0.444	-0.255	-0.490	-0.247	-0.119	-0.340	0.105	0.351	0.616	0.892	0.750	-128.906
-0.198	-0.509	-0.214	-0.582	-0.287	-0.094	0.128	0.441	0.470	0.267	0.665	0.700	-0.051	-0.137	-0.467	-0.658	-0.579	-0.477	-0.338	-0.504	-0.349	-0.166	-0.326	-0.002	0.313	0.615	0.836	0.845	-125.000
-0.170	-0.483	-0.153	-0.608	-0.318	-0.168	0.101	0.487	0.585	0.177	0.759	0.715	-0.150	-0.215	-0.445	-0.686	-0.625	-0.490	-0.390	-0.473	-0.412	-0.192	-0.309	-0.109	0.257	0.590	0.746	0.919	-121.094
-0.147	-0.430	-0.106	-0.596	-0.319	-0.232	0.069	0.492	0.656	0.083	0.812	0.694	-0.227	-0.259	-0.403	-0.671	-0.634	-0.482	-0.404	-0.394	-0.424	-0.198	-0.293	-0.215	0.186	0.537	0.620	0.957	-117.188
