FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
1.174	1.631	2.087	1.773	1.817	2.206	-0.077	0.057	-0.298	-0.281	-0.327	-1.339	-1.870	-0.230	0.561	1.412	1.015	1.467	0.753	1.166	1.361	0.734	-0.317	-2.061	-1.618	-1.921	-2.373	-1.064	-199.219
0.788	1.342	1.649	1.360	1.515	1.816	0.059	-0.027	-0.359	-0.243	-0.536	-1.260	-1.612	-0.050	0.557	1.242	0.864	1.032	0.711	1.073	1.375	0.532	-0.226	-1.613	-1.255	-1.513	-1.977	-0.885	-195.312
0.440	1.041	1.227	0.960	1.217	1.436	0.178	-0.108	-0.403	-0.203	-0.704	-1.162	-1.356	0.111	0.511	1.055	0.700	0.608	0.656	0.957	1.368	0.348	-0.146	-1.166	-0.873	-1.095	-1.559	-0.691	-191.406
0.150	0.729	0.832	0.587	0.930	1.075	0.265	-0.179	-0.415	-0.160	-0.800	-1.030	-1.103	0.241	0.402	0.840	0.510	0.220	0.579	0.800	1.325	0.199	-0.084	-0.728	-0.469	-0.666	-1.105	-0.474	-187.500
-0.071	0.414	0.480	0.257	0.658	0.743	0.308	-0.237	-0.393	-0.118	-0.810	-0.860	-0.853	0.330	0.227	0.596	0.298	-0.110	0.475	0.599	1.236	0.092	-0.046	-0.310	-0.052	-0.236	-0.619	-0.235	-183.594
-0.228	0.116	0.183	-0.014	0.407	0.452	0.300	-0.283	-0.343	-0.084	-0.740	-0.657	-0.609	0.380	0.000	0.335	0.075	-0.355	0.345	0.364	1.106	0.032	-0.033	0.075	0.355	0.177	-0.119	0.016	-179.688
-0.334	-0.139	-0.050	-0.216	0.183	0.210	0.242	-0.322	-0.278	-0.066	-0.612	-0.436	-0.373	0.397	-0.249	0.076	-0.135	-0.497	0.198	0.117	0.948	0.013	-0.041	0.412	0.724	0.547	0.367	0.258	-175.781
-0.409	-0.330	-0.216	-0.346	-0.011	0.025	0.142	-0.356	-0.212	-0.067	-0.452	-0.214	-0.147	0.393	-0.484	-0.157	-0.311	-0.518	0.045	-0.114	0.778	0.030	-0.058	0.688	1.022	0.847	0.801	0.471	-171.875
-0.469	-0.446	-0.321	-0.410	-0.173	-0.102	0.014	-0.391	-0.157	-0.087	-0.282	-0.007	0.063	0.383	-0.673	-0.342	-0.434	-0.416	-0.100	-0.303	0.618	0.071	-0.070	0.894	1.223	1.054	1.152	0.635	-167.969
-0.526	-0.488	-0.380	-0.424	-0.300	-0.173	-0.119	-0.425	-0.116	-0.119	-0.121	0.175	0.256	0.381	-0.792	-0.462	-0.497	-0.202	-0.227	-0.429	0.482	0.128	-0.062	1.026	1.311	1.155	1.394	0.736	-164.062
-0.584	-0.472	-0.414	-0.408	-0.395	-0.197	-0.234	-0.457	-0.089	-0.151	0.025	0.326	0.428	0.398	-0.830	-0.511	-0.507	0.095	-0.326	-0.484	0.380	0.192	-0.021	1.086	1.286	1.150	1.515	0.770	-160.156
-0.637	-0.418	-0.443	-0.385	-0.459	-0.184	-0.310	-0.482	-0.070	-0.170	0.153	0.448	0.577	0.437	-0.793	-0.495	-0.477	0.433	-0.395	-0.468	0.314	0.256	0.059	1.080	1.162	1.051	1.518	0.740	-156.250
-0.672	-0.347	-0.483	-0.369	-0.493	-0.146	-0.331	-0.497	-0.052	-0.167	0.264	0.543	0.698	0.496	-0.695	-0.425	-0.425	0.760	-0.430	-0.396	0.280	0.316	0.173	1.018	0.961	0.880	1.418	0.655	-152.344
-0.678	-0.275	-0.543	-0.370	-0.500	-0.094	-0.289	-0.501	-0.032	-0.140	0.356	0.613	0.789	0.567	-0.560	-0.320	-0.366	1.029	-0.435	-0.285	0.268	0.370	0.308	0.910	0.713	0.663	1.238	0.528	-148.438
-0.645	-0.209	-0.617	-0.386	-0.483	-0.037	-0.189	-0.497	-0.010	-0.090	0.424	0.661	0.846	0.638	-0.415	-0.196	-0.308	1.203	-0.412	-0.158	0.269	0.416	0.442	0.769	0.446	0.428	1.005	0.373	-144.531
-0.574	-0.150	-0.691	-0.406	-0.445	0.018	-0.045	-0.488	0.011	-0.026	0.462	0.686	0.867	0.694	-0.280	-0.071	-0.253	1.265	-0.368	-0.035	0.273	0.454	0.548	0.604	0.186	0.198	0.747	0.206	-140.625
-0.470	-0.092	-0.744	-0.417	-0.393	0.065	0.124	-0.479	0.023	0.041	0.464	0.687	0.853	0.723	-0.168	0.042	-0.194	1.221	-0.308	0.067	0.270	0.479	0.599	0.428	-0.047	-0.008	0.487	0.042	-136.719
-0.344	-0.030	-0.758	-0.406	-0.332	0.097	0.294	-0.475	0.026	0.102	0.432	0.663	0.805	0.717	-0.084	0.135	-0.125	1.090	-0.243	0.137	0.255	0.486	0.574	0.249	-0.241	-0.176	0.245	-0.102	-132.812
-0.210	0.040	-0.719	-0.362	-0.269	0.111	0.442	-0.473	0.019	0.155	0.373	0.617	0.730	0.670	-0.026	0.205	-0.039	0.905	-0.180	0.169	0.225	0.468	0.466	0.076	-0.388	-0.300	0.035	-0.213	-128.906
-0.078	0.116	-0.624	-0.285	-0.210	0.107	0.551	-0.471	0.006	0.197	0.302	0.551	0.636	0.583	0.014	0.250	0.063	0.697	-0.128	0.164	0.180	0.419	0.281	-0.082	-0.487	-0.376	-0.136	-0.279	-125.000
0.045	0.192	-0.480	-0.183	-0.159	0.085	0.611	-0.462	-0.005	0.231	0.237	0.473	0.531	0.462	0.041	0.271	0.175	0.493	-0.092	0.127	0.121	0.332	0.040	-0.219	-0.534	-0.404	-0.263	-0.293	-121.094
0.156	0.254	-0.307	-0.069	-0.119	0.048	0.619	-0.439	-0.009	0.261	0.191	0.388	0.427	0.315	0.060	0.271	0.286	0.313	-0.074	0.067	0.052	0.209	-0.225	-0.327	-0.528	-0.386	-0.341	-0.255	-117.188
0.255	0.293	-0.128	0.037	-0.094	0.000	0.580	-0.399	-0.003	0.289	0.171	0.304	0.331	0.155	0.074	0.251	0.381	0.170	-0.070	-0.006	-0.025	0.056	-0.478	-0.402	-0.471	-0.326	-0.372	-0.174	-113.281
0.341	0.302	0.029	0.119	-0.082	-0.052	0.502	-0.343	0.011	0.313	0.177	0.226	0.248	-0.006	0.082	0.216	0.448	0.068	-0.074	-0.081	-0.108	-0.111	-0.683	-0.437	-0.364	-0.233	-0.354	-0.062	-109.375
0.414	0.280	0.143	0.164	-0.086	-0.106	0.395	-0.278	0.025	0.329	0.197	0.160	0.184	-0.154	0.083	0.170	0.478	0.009	-0.077	-0.147	-0.193	-0.271	-0.813	-0.432	-0.221	-0.115	-0.292	0.064	-105.469
0.475	0.236	0.198	0.169	-0.102	-0.160	0.268	-0.214	0.030	0.327	0.212	0.105	0.138	-0.278	0.079	0.121	0.473	-0.012	-0.069	-0.197	-0.277	-0.398	-0.851	-0.385	-0.060	0.014	-0.191	0.188	-101.562
0.518	0.188	0.192	0.138	-0.130	-0.212	0.127	-0.165	0.012	0.296	0.202	0.059	0.111	-0.370	0.074	0.076	0.437	-0.003	-0.042	-0.224	-0.354	-0.469	-0.793	-0.302	0.095	0.143	-0.058	0.295	-97.656
0.539	0.153	0.136	0.083	-0.164	-0.262	-0.024	-0.143	-0.039	0.227	0.149	0.020	0.100	-0.423	0.074	0.043	0.381	0.024	0.007	-0.224	-0.418	-0.469	-0.649	-0.187	0.218	0.259	0.095	0.376	-93.750
0.533	0.148	0.048	0.017	-0.201	-0.313	-0.181	-0.158	-0.128	0.114	0.049	-0.015	0.105	-0.437	0.086	0.027	0.314	0.060	0.074	-0.198	-0.465	-0.394	-0.443	-0.051	0.290	0.355	0.257	0.428	-89.844
