FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.080	-0.077	0.081	-0.193	-0.192	-0.001	0.246	0.397	0.630	0.123	0.229	-0.322	0.327	0.419	0.397	-0.201	-1.439	-0.773	-1.571	-0.053	0.390	-1.863	-1.546	-0.907	-0.746	-0.416	-0.965	-0.316	-199.219
-0.087	-0.141	-0.039	-0.216	-0.215	-0.036	0.185	0.440	0.552	0.156	0.139	-0.331	0.327	0.397	0.374	-0.007	-0.759	-0.398	-0.828	0.163	0.439	-1.039	-0.939	-0.776	-0.650	-0.442	-0.725	-0.352	-195.312
-0.226	-0.179	-0.138	-0.213	-0.220	-0.065	0.107	0.439	0.449	0.164	0.041	-0.341	0.323	0.378	0.353	0.190	-0.134	-0.057	-0.147	0.374	0.497	-0.295	-0.389	-0.657	-0.572	-0.474	-0.509	-0.381	-191.406
-0.316	-0.177	-0.203	-0.173	-0.198	-0.086	0.007	0.373	0.307	0.132	-0.069	-0.351	0.313	0.365	0.328	0.379	0.383	0.218	0.413	0.569	0.562	0.310	0.057	-0.557	-0.520	-0.508	-0.335	-0.398	-187.500
-0.348	-0.127	-0.226	-0.090	-0.145	-0.094	-0.112	0.234	0.122	0.057	-0.187	-0.360	0.295	0.359	0.294	0.550	0.759	0.408	0.821	0.737	0.634	0.740	0.374	-0.481	-0.500	-0.546	-0.214	-0.400	-183.594
-0.327	-0.030	-0.205	0.038	-0.060	-0.084	-0.237	0.033	-0.093	-0.055	-0.306	-0.364	0.273	0.358	0.248	0.692	0.986	0.509	1.072	0.868	0.706	0.993	0.559	-0.432	-0.511	-0.589	-0.146	-0.392	-179.688
-0.273	0.105	-0.149	0.198	0.050	-0.054	-0.348	-0.202	-0.316	-0.184	-0.413	-0.362	0.250	0.360	0.191	0.793	1.078	0.532	1.179	0.953	0.768	1.090	0.628	-0.406	-0.547	-0.634	-0.122	-0.378	-175.781
-0.207	0.260	-0.068	0.373	0.173	-0.005	-0.423	-0.436	-0.518	-0.306	-0.492	-0.348	0.231	0.359	0.126	0.844	1.058	0.495	1.171	0.984	0.812	1.070	0.610	-0.394	-0.597	-0.672	-0.125	-0.360	-171.875
-0.150	0.409	0.020	0.536	0.292	0.059	-0.442	-0.630	-0.669	-0.394	-0.526	-0.313	0.223	0.353	0.058	0.836	0.954	0.420	1.079	0.958	0.825	0.969	0.536	-0.385	-0.642	-0.688	-0.132	-0.335	-167.969
-0.118	0.525	0.100	0.658	0.388	0.129	-0.394	-0.751	-0.744	-0.424	-0.502	-0.249	0.228	0.336	-0.014	0.763	0.790	0.325	0.929	0.870	0.800	0.822	0.436	-0.363	-0.660	-0.661	-0.118	-0.295	-164.062
-0.112	0.584	0.162	0.712	0.446	0.195	-0.278	-0.779	-0.731	-0.384	-0.416	-0.147	0.249	0.308	-0.091	0.628	0.584	0.221	0.740	0.724	0.731	0.647	0.327	-0.317	-0.635	-0.574	-0.067	-0.229	-160.156
-0.127	0.570	0.199	0.682	0.456	0.247	-0.108	-0.711	-0.631	-0.274	-0.271	-0.007	0.283	0.267	-0.175	0.438	0.354	0.116	0.524	0.529	0.620	0.455	0.220	-0.239	-0.555	-0.419	0.028	-0.128	-156.250
-0.149	0.480	0.209	0.568	0.414	0.276	0.095	-0.557	-0.460	-0.107	-0.080	0.167	0.328	0.216	-0.267	0.213	0.112	0.012	0.292	0.302	0.476	0.251	0.117	-0.129	-0.423	-0.204	0.161	0.012	-152.344
