FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.917	-1.866	-1.064	-2.819	-1.272	-1.567	0.136	0.043	0.085	0.568	-0.340	0.556	1.240	0.916	0.342	-1.587	-0.127	0.532	0.273	-0.998	-0.750	0.976	1.044	1.448	0.779	1.450	2.282	0.267	-199.219
-0.818	-1.774	-0.935	-2.497	-1.103	-1.411	0.213	0.111	0.173	0.669	0.026	0.639	1.037	0.718	0.101	-1.516	-0.408	0.042	-0.042	-1.031	-0.664	0.809	0.853	1.343	0.989	1.465	2.167	0.494	-195.312
-0.681	-1.666	-0.806	-2.182	-0.946	-1.266	0.254	0.138	0.222	0.712	0.320	0.685	0.844	0.538	-0.079	-1.407	-0.603	-0.360	-0.292	-1.022	-0.564	0.671	0.688	1.239	1.145	1.428	2.017	0.662	-191.406
-0.485	-1.530	-0.680	-1.878	-0.807	-1.141	0.236	0.097	0.205	0.655	0.489	0.663	0.672	0.396	-0.158	-1.232	-0.655	-0.608	-0.425	-0.938	-0.439	0.585	0.571	1.140	1.207	1.302	1.810	0.720	-187.500
-0.222	-1.357	-0.559	-1.586	-0.686	-1.039	0.148	-0.025	0.108	0.479	0.498	0.555	0.533	0.308	-0.111	-0.976	-0.534	-0.670	-0.408	-0.759	-0.280	0.570	0.515	1.050	1.148	1.067	1.531	0.643	-183.594
0.099	-1.147	-0.446	-1.305	-0.582	-0.958	-0.007	-0.225	-0.066	0.193	0.344	0.362	0.435	0.284	0.059	-0.642	-0.250	-0.554	-0.234	-0.485	-0.087	0.635	0.526	0.973	0.963	0.724	1.183	0.431	-179.688
0.450	-0.906	-0.341	-1.038	-0.488	-0.895	-0.210	-0.482	-0.304	-0.171	0.052	0.099	0.383	0.326	0.325	-0.251	0.154	-0.303	0.078	-0.134	0.139	0.774	0.596	0.911	0.674	0.302	0.785	0.111	-175.781
0.792	-0.648	-0.253	-0.786	-0.398	-0.844	-0.430	-0.766	-0.577	-0.560	-0.327	-0.198	0.378	0.428	0.639	0.163	0.608	0.014	0.483	0.263	0.386	0.970	0.707	0.866	0.321	-0.154	0.368	-0.265	-171.875
1.076	-0.398	-0.189	-0.556	-0.305	-0.799	-0.636	-1.040	-0.854	-0.916	-0.727	-0.487	0.418	0.574	0.942	0.553	1.028	0.323	0.919	0.663	0.642	1.193	0.836	0.841	-0.038	-0.583	-0.028	-0.634	-167.969
1.256	-0.181	-0.158	-0.356	-0.210	-0.760	-0.796	-1.270	-1.100	-1.183	-1.081	-0.720	0.492	0.740	1.175	0.875	1.335	0.559	1.317	1.021	0.887	1.405	0.952	0.834	-0.345	-0.922	-0.365	-0.933	-164.062
1.301	-0.022	-0.169	-0.197	-0.117	-0.726	-0.886	-1.426	-1.285	-1.320	-1.331	-0.861	0.584	0.899	1.290	1.090	1.475	0.680	1.611	1.298	1.100	1.564	1.028	0.842	-0.548	-1.118	-0.609	-1.107	-160.156
1.199	0.061	-0.224	-0.090	-0.032	-0.700	-0.897	-1.487	-1.386	-1.308	-1.445	-0.883	0.677	1.021	1.261	1.175	1.428	0.668	1.753	1.464	1.256	1.634	1.042	0.858	-0.615	-1.142	-0.737	-1.122	-156.250
0.959	0.062	-0.321	-0.042	0.032	-0.683	-0.830	-1.444	-1.392	-1.153	-1.414	-0.781	0.754	1.080	1.083	1.127	1.208	0.539	1.723	1.504	1.337	1.590	0.978	0.872	-0.538	-0.989	-0.746	-0.970	-152.344
0.612	-0.012	-0.451	-0.052	0.068	-0.673	-0.699	-1.302	-1.299	-0.880	-1.254	-0.570	0.798	1.058	0.774	0.960	0.865	0.326	1.526	1.421	1.329	1.424	0.838	0.874	-0.336	-0.684	-0.646	-0.667	-148.438
0.199	-0.139	-0.602	-0.116	0.071	-0.668	-0.527	-1.074	-1.116	-0.529	-1.000	-0.276	0.802	0.949	0.367	0.708	0.465	0.073	1.198	1.233	1.228	1.144	0.631	0.855	-0.049	-0.274	-0.461	-0.254	-144.531
-0.234	-0.291	-0.759	-0.218	0.045	-0.660	-0.335	-0.784	-0.855	-0.139	-0.692	0.061	0.764	0.760	-0.097	0.412	0.080	-0.175	0.791	0.971	1.043	0.781	0.380	0.810	0.272	0.180	-0.225	0.214	-140.625
-0.651	-0.436	-0.908	-0.338	-0.002	-0.638	-0.145	-0.459	-0.530	0.251	-0.370	0.400	0.690	0.510	-0.575	0.117	-0.235	-0.385	0.366	0.674	0.795	0.374	0.114	0.738	0.572	0.614	0.025	0.676	-136.719
-1.023	-0.546	-1.036	-0.454	-0.054	-0.593	0.030	-0.127	-0.162	0.616	-0.063	0.701	0.595	0.230	-1.026	-0.137	-0.449	-0.538	-0.022	0.380	0.513	-0.028	-0.136	0.645	0.804	0.973	0.254	1.072	-132.812
