FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.101	-0.771	-1.280	-0.464	-0.316	-0.425	-0.223	-0.609	0.038	0.061	0.139	0.163	0.230	0.274	0.041	0.203	-0.275	0.309	-0.143	0.467	0.540	-0.030	0.126	0.254	0.369	0.404	0.192	-0.034	-199.219
-0.220	-0.967	-1.183	-0.498	-0.125	-0.203	-0.072	-0.515	0.141	0.125	0.161	0.332	0.100	0.272	-0.238	-0.060	-0.464	0.146	-0.263	0.207	0.410	-0.066	-0.032	0.298	0.529	0.710	0.309	0.214	-195.312
-0.486	-1.133	-1.068	-0.528	0.029	-0.015	0.055	-0.426	0.227	0.171	0.171	0.475	-0.027	0.251	-0.476	-0.302	-0.629	0.004	-0.369	-0.034	0.284	-0.093	-0.174	0.333	0.670	0.985	0.410	0.437	-191.406
-0.656	-1.248	-0.927	-0.554	0.120	0.113	0.141	-0.346	0.281	0.185	0.159	0.569	-0.150	0.199	-0.641	-0.509	-0.754	-0.100	-0.449	-0.240	0.164	-0.104	-0.284	0.350	0.774	1.205	0.483	0.617	-187.500
-0.710	-1.303	-0.759	-0.577	0.130	0.164	0.177	-0.274	0.299	0.164	0.124	0.608	-0.264	0.113	-0.717	-0.672	-0.829	-0.157	-0.501	-0.405	0.051	-0.097	-0.354	0.348	0.836	1.354	0.522	0.744	-183.594
-0.650	-1.297	-0.574	-0.600	0.058	0.135	0.168	-0.203	0.285	0.112	0.071	0.594	-0.364	-0.003	-0.707	-0.788	-0.860	-0.169	-0.528	-0.529	-0.055	-0.075	-0.381	0.327	0.856	1.430	0.527	0.819	-179.688
-0.500	-1.242	-0.384	-0.626	-0.083	0.036	0.124	-0.126	0.251	0.042	0.012	0.540	-0.443	-0.138	-0.626	-0.863	-0.856	-0.148	-0.541	-0.616	-0.155	-0.049	-0.371	0.290	0.842	1.438	0.504	0.848	-175.781
-0.298	-1.154	-0.209	-0.654	-0.268	-0.111	0.064	-0.036	0.213	-0.029	-0.039	0.467	-0.495	-0.274	-0.502	-0.902	-0.834	-0.112	-0.550	-0.675	-0.248	-0.025	-0.332	0.245	0.802	1.389	0.461	0.845	-171.875
-0.086	-1.050	-0.063	-0.682	-0.463	-0.275	0.006	0.071	0.183	-0.086	-0.072	0.394	-0.517	-0.392	-0.363	-0.913	-0.809	-0.079	-0.565	-0.709	-0.332	-0.014	-0.278	0.194	0.749	1.297	0.407	0.821	-167.969
0.099	-0.945	0.044	-0.705	-0.631	-0.420	-0.035	0.191	0.171	-0.117	-0.079	0.334	-0.509	-0.478	-0.235	-0.902	-0.790	-0.064	-0.589	-0.721	-0.401	-0.020	-0.223	0.140	0.690	1.175	0.347	0.783	-164.062
