FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.121	-0.452	0.889	-0.032	-0.249	0.201	-0.480	1.101	1.451	1.508	1.134	0.684	-0.169	-0.572	0.128	-1.025	-0.868	0.028	-1.552	-0.736	-0.541	-1.908	-0.767	-0.859	-0.822	0.465	-0.146	0.847	-199.219
-0.117	-0.631	0.671	-0.274	-0.374	0.067	-0.622	0.895	1.208	1.236	1.003	0.637	-0.273	-0.639	0.107	-1.051	-0.649	0.224	-1.108	-0.703	-0.622	-1.264	-0.252	-0.570	-0.719	0.229	-0.141	0.672	-195.312
-0.105	-0.775	0.496	-0.477	-0.479	-0.027	-0.763	0.672	0.951	0.945	0.844	0.563	-0.397	-0.708	0.100	-1.056	-0.426	0.417	-0.671	-0.664	-0.693	-0.642	0.239	-0.309	-0.616	0.008	-0.150	0.491	-191.406
-0.075	-0.855	0.397	-0.609	-0.546	-0.055	-0.894	0.423	0.676	0.627	0.642	0.450	-0.550	-0.777	0.114	-1.026	-0.203	0.595	-0.256	-0.613	-0.745	-0.069	0.676	-0.098	-0.515	-0.184	-0.180	0.304	-187.500
-0.022	-0.851	0.391	-0.646	-0.561	-0.006	-1.010	0.150	0.383	0.280	0.392	0.292	-0.734	-0.843	0.152	-0.945	0.014	0.745	0.124	-0.541	-0.764	0.429	1.029	0.046	-0.420	-0.333	-0.233	0.114	-183.594
0.057	-0.756	0.471	-0.578	-0.516	0.110	-1.104	-0.134	0.081	-0.089	0.099	0.092	-0.943	-0.894	0.212	-0.807	0.218	0.852	0.456	-0.433	-0.734	0.827	1.274	0.112	-0.339	-0.433	-0.312	-0.072	-179.688
0.158	-0.577	0.615	-0.412	-0.411	0.264	-1.170	-0.408	-0.216	-0.467	-0.221	-0.131	-1.160	-0.921	0.286	-0.608	0.400	0.904	0.726	-0.278	-0.642	1.105	1.395	0.101	-0.277	-0.478	-0.411	-0.244	-175.781
0.274	-0.336	0.787	-0.173	-0.258	0.417	-1.203	-0.645	-0.488	-0.827	-0.540	-0.353	-1.362	-0.915	0.365	-0.360	0.549	0.892	0.923	-0.074	-0.484	1.251	1.382	0.025	-0.239	-0.468	-0.516	-0.387	-171.875
0.393	-0.064	0.944	0.102	-0.083	0.526	-1.197	-0.817	-0.710	-1.139	-0.825	-0.540	-1.521	-0.875	0.436	-0.083	0.654	0.816	1.040	0.170	-0.273	1.260	1.244	-0.097	-0.222	-0.405	-0.610	-0.482	-167.969
0.498	0.199	1.053	0.368	0.083	0.552	-1.149	-0.901	-0.857	-1.366	-1.039	-0.658	-1.612	-0.806	0.487	0.193	0.706	0.683	1.069	0.430	-0.037	1.138	0.998	-0.236	-0.219	-0.291	-0.670	-0.510	-164.062
0.574	0.414	1.089	0.576	0.201	0.476	-1.058	-0.883	-0.907	-1.473	-1.151	-0.677	-1.615	-0.721	0.508	0.430	0.700	0.506	1.009	0.669	0.184	0.902	0.675	-0.364	-0.215	-0.131	-0.670	-0.455	-160.156
0.605	0.545	1.042	0.687	0.239	0.293	-0.926	-0.761	-0.849	-1.435	-1.141	-0.580	-1.521	-0.641	0.492	0.595	0.636	0.306	0.866	0.845	0.343	0.576	0.310	-0.455	-0.193	0.070	-0.592	-0.309	-156.250
0.584	0.569	0.920	0.675	0.173	0.018	-0.757	-0.546	-0.681	-1.245	-1.003	-0.369	-1.336	-0.585	0.440	0.663	0.520	0.108	0.655	0.926	0.404	0.195	-0.056	-0.492	-0.140	0.301	-0.427	-0.079	-152.344
0.507	0.480	0.740	0.536	-0.002	-0.315	-0.561	-0.263	-0.420	-0.917	-0.751	-0.065	-1.080	-0.569	0.357	0.627	0.368	-0.066	0.398	0.892	0.344	-0.204	-0.387	-0.470	-0.048	0.547	-0.181	0.217	-148.438
0.384	0.293	0.531	0.288	-0.272	-0.664	-0.350	0.057	-0.095	-0.487	-0.418	0.293	-0.786	-0.602	0.258	0.500	0.202	-0.193	0.125	0.749	0.166	-0.582	-0.655	-0.398	0.077	0.788	0.124	0.545	-144.531
0.232	0.042	0.326	-0.030	-0.602	-0.982	-0.140	0.378	0.253	-0.010	-0.048	0.656	-0.493	-0.680	0.160	0.311	0.045	-0.261	-0.134	0.520	-0.101	-0.909	-0.843	-0.298	0.220	1.000	0.450	0.860	-140.625
0.074	-0.228	0.155	-0.364	-0.943	-1.222	0.054	0.663	0.579	0.452	0.308	0.972	-0.238	-0.792	0.078	0.099	-0.082	-0.266	-0.351	0.244	-0.413	-1.158	-0.946	-0.195	0.358	1.159	0.755	1.118	-136.719
-0.063	-0.464	0.047	-0.656	-1.239	-1.349	0.217	0.885	0.840	0.838	0.606	1.198	-0.051	-0.916	0.025	-0.095	-0.167	-0.218	-0.508	-0.033	-0.716	-1.318	-0.975	-0.118	0.461	1.244	0.996	1.281	-132.812
-0.159	-0.623	0.015	-0.853	-1.438	-1.339	0.337	1.021	1.007	1.104	0.812	1.307	0.053	-1.026	0.005	-0.236	-0.205	-0.137	-0.598	-0.268	-0.959	-1.385	-0.947	-0.084	0.507	1.245	1.143	1.325	-128.906
-0.200	-0.673	0.061	-0.920	-1.502	-1.189	0.409	1.062	1.061	1.227	0.906	1.292	0.078	-1.092	0.015	-0.302	-0.202	-0.047	-0.622	-0.431	-1.101	-1.365	-0.884	-0.101	0.482	1.160	1.181	1.248	-125.000
-0.184	-0.607	0.172	-0.842	-1.413	-0.912	0.431	1.006	1.003	1.204	0.888	1.163	0.040	-1.089	0.043	-0.287	-0.166	0.027	-0.589	-0.504	-1.119	-1.269	-0.806	-0.160	0.385	1.002	1.117	1.063	-121.094
-0.121	-0.437	0.322	-0.629	-1.180	-0.542	0.412	0.860	0.844	1.056	0.767	0.944	-0.030	-1.002	0.075	-0.196	-0.112	0.066	-0.513	-0.485	-1.011	-1.109	-0.729	-0.241	0.233	0.791	0.971	0.802	-117.188
