FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-1.280	-0.197	-1.835	-0.281	0.054	-0.270	-0.168	-0.720	-0.613	-0.069	-0.321	-0.042	0.854	1.184	-1.213	1.419	1.849	-2.728	2.233	1.415	1.332	1.729	0.819	0.715	0.176	0.278	0.897	0.814	-199.219
-1.255	-0.305	-1.422	-0.345	-0.117	-0.296	-0.132	-0.680	-0.561	-0.019	-0.210	0.071	0.687	0.980	-0.843	1.109	1.083	-1.686	1.618	1.135	1.099	1.391	0.688	0.762	0.276	0.449	0.965	0.897	-195.312
-1.209	-0.377	-1.055	-0.392	-0.272	-0.314	-0.105	-0.650	-0.531	0.014	-0.115	0.172	0.524	0.785	-0.537	0.831	0.417	-0.736	1.059	0.880	0.881	1.073	0.571	0.792	0.362	0.593	1.017	0.969	-191.406
-1.121	-0.389	-0.765	-0.405	-0.390	-0.314	-0.091	-0.632	-0.535	0.020	-0.050	0.242	0.374	0.609	-0.341	0.614	-0.068	0.033	0.606	0.670	0.694	0.796	0.476	0.793	0.421	0.681	1.036	1.014	-187.500
-0.973	-0.334	-0.564	-0.377	-0.460	-0.293	-0.093	-0.627	-0.581	-0.008	-0.025	0.270	0.243	0.462	-0.271	0.471	-0.331	0.571	0.287	0.520	0.551	0.572	0.407	0.755	0.441	0.695	1.007	1.014	-183.594
-0.747	-0.224	-0.442	-0.311	-0.474	-0.250	-0.108	-0.633	-0.663	-0.067	-0.043	0.247	0.141	0.349	-0.306	0.408	-0.375	0.869	0.107	0.433	0.457	0.405	0.359	0.676	0.415	0.623	0.924	0.955	-179.688
-0.444	-0.083	-0.374	-0.215	-0.431	-0.190	-0.130	-0.642	-0.767	-0.149	-0.100	0.170	0.073	0.273	-0.394	0.413	-0.247	0.955	0.049	0.402	0.412	0.292	0.325	0.559	0.342	0.464	0.785	0.828	-175.781
-0.081	0.057	-0.326	-0.103	-0.338	-0.118	-0.150	-0.646	-0.872	-0.240	-0.187	0.041	0.044	0.235	-0.469	0.469	-0.018	0.889	0.079	0.414	0.412	0.222	0.296	0.414	0.227	0.232	0.595	0.625	-171.875
0.299	0.169	-0.267	0.013	-0.204	-0.042	-0.160	-0.633	-0.957	-0.325	-0.290	-0.132	0.053	0.232	-0.472	0.550	0.231	0.737	0.156	0.453	0.446	0.185	0.263	0.255	0.080	-0.054	0.363	0.352	-167.969
0.640	0.238	-0.175	0.123	-0.041	0.037	-0.152	-0.595	-1.001	-0.389	-0.392	-0.337	0.093	0.258	-0.367	0.635	0.432	0.563	0.240	0.503	0.502	0.167	0.224	0.094	-0.082	-0.365	0.105	0.021	-164.062
