FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-4.950	-3.379	-3.428	-2.586	-1.099	-0.935	1.955	3.163	3.233	2.422	3.007	2.238	1.394	0.737	-3.520	-2.342	-2.831	-2.435	-1.897	-1.986	-0.553	-0.065	-0.340	1.792	2.609	3.414	2.652	2.923	-199.219
-4.156	-3.064	-3.154	-2.401	-1.023	-0.977	1.704	2.345	2.536	2.156	2.566	2.050	1.585	1.008	-3.171	-1.974	-2.311	-2.135	-1.454	-1.579	-0.135	0.318	0.021	2.024	2.234	2.895	2.525	2.500	-195.312
-3.387	-2.743	-2.882	-2.195	-0.924	-1.006	1.456	1.556	1.858	1.886	2.141	1.859	1.750	1.270	-2.815	-1.593	-1.800	-1.826	-1.017	-1.163	0.282	0.673	0.343	2.208	1.834	2.371	2.372	2.080	-191.406
-2.660	-2.403	-2.606	-1.950	-0.788	-1.006	1.209	0.825	1.213	1.601	1.740	1.655	1.858	1.508	-2.436	-1.188	-1.299	-1.497	-0.585	-0.730	0.695	0.977	0.597	2.298	1.383	1.834	2.162	1.656	-187.500
-1.986	-2.040	-2.316	-1.654	-0.603	-0.963	0.960	0.174	0.615	1.292	1.364	1.429	1.884	1.708	-2.022	-0.755	-0.807	-1.144	-0.162	-0.279	1.091	1.212	0.760	2.259	0.866	1.277	1.870	1.226	-183.594
-1.366	-1.649	-2.001	-1.306	-0.369	-0.867	0.702	-0.380	0.074	0.950	1.006	1.173	1.813	1.855	-1.562	-0.298	-0.328	-0.766	0.246	0.184	1.456	1.365	0.823	2.070	0.281	0.701	1.487	0.787	-179.688
-0.796	-1.232	-1.650	-0.911	-0.095	-0.712	0.433	-0.829	-0.404	0.573	0.655	0.883	1.639	1.939	-1.053	0.171	0.138	-0.369	0.633	0.645	1.772	1.434	0.790	1.731	-0.362	0.109	1.013	0.340	-175.781
-0.268	-0.793	-1.260	-0.484	0.204	-0.502	0.148	-1.172	-0.817	0.160	0.296	0.557	1.366	1.949	-0.503	0.635	0.594	0.041	0.993	1.087	2.022	1.427	0.679	1.260	-1.038	-0.486	0.463	-0.113	-171.875
0.222	-0.340	-0.835	-0.044	0.503	-0.246	-0.154	-1.419	-1.170	-0.286	-0.084	0.193	1.008	1.884	0.074	1.080	1.042	0.456	1.324	1.489	2.192	1.360	0.516	0.694	-1.710	-1.070	-0.139	-0.567	-167.969
0.675	0.114	-0.388	0.387	0.774	0.033	-0.470	-1.584	-1.472	-0.757	-0.494	-0.203	0.589	1.747	0.653	1.488	1.483	0.871	1.623	1.834	2.278	1.255	0.338	0.083	-2.337	-1.622	-0.759	-1.014	-164.062
1.087	0.555	0.061	0.783	0.991	0.308	-0.793	-1.690	-1.733	-1.235	-0.936	-0.624	0.140	1.551	1.203	1.846	1.916	1.277	1.889	2.107	2.283	1.141	0.180	-0.513	-2.876	-2.121	-1.355	-1.445	-160.156
1.447	0.962	0.484	1.123	1.132	0.549	-1.107	-1.757	-1.965	-1.700	-1.398	-1.055	-0.304	1.314	1.691	2.142	2.332	1.664	2.119	2.298	2.219	1.041	0.077	-1.034	-3.284	-2.541	-1.883	-1.841	-156.250
1.740	1.317	0.856	1.391	1.185	0.729	-1.395	-1.806	-2.176	-2.123	-1.859	-1.472	-0.704	1.062	2.084	2.364	2.710	2.015	2.307	2.401	2.103	0.977	0.053	-1.426	-3.527	-2.857	-2.299	-2.180	-152.344
