FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.471	0.839	1.417	0.162	1.062	0.973	0.270	-0.761	-1.257	-0.951	-1.194	-1.152	1.028	1.875	-0.306	0.524	0.767	0.035	0.943	1.159	1.684	1.145	0.490	0.086	-1.578	-1.480	-0.647	-1.191	-199.219
0.085	0.519	0.972	0.212	1.055	1.041	0.198	-0.611	-1.070	-0.899	-1.130	-1.072	0.849	1.724	-0.326	0.583	0.662	-0.135	0.813	1.214	1.702	0.987	0.325	0.049	-1.419	-1.222	-0.596	-1.045	-195.312
0.579	0.223	0.561	0.242	1.012	1.075	0.117	-0.474	-0.889	-0.850	-1.059	-0.982	0.672	1.564	-0.323	0.636	0.571	-0.297	0.696	1.259	1.702	0.841	0.186	0.018	-1.258	-0.966	-0.537	-0.896	-191.406
0.962	-0.027	0.217	0.240	0.908	1.049	0.021	-0.363	-0.720	-0.805	-0.977	-0.873	0.499	1.385	-0.280	0.674	0.505	-0.436	0.597	1.280	1.667	0.713	0.090	0.000	-1.092	-0.715	-0.462	-0.741	-187.500
1.208	-0.209	-0.033	0.201	0.730	0.945	-0.098	-0.287	-0.571	-0.768	-0.885	-0.743	0.331	1.180	-0.192	0.690	0.470	-0.535	0.520	1.266	1.582	0.607	0.044	-0.002	-0.924	-0.471	-0.368	-0.581	-183.594
1.316	-0.307	-0.177	0.132	0.484	0.759	-0.241	-0.254	-0.455	-0.741	-0.784	-0.594	0.170	0.945	-0.060	0.684	0.467	-0.574	0.467	1.211	1.440	0.523	0.047	0.010	-0.757	-0.238	-0.257	-0.419	-179.688
1.309	-0.311	-0.217	0.044	0.189	0.500	-0.407	-0.266	-0.378	-0.723	-0.678	-0.433	0.017	0.684	0.100	0.655	0.491	-0.539	0.436	1.115	1.243	0.460	0.090	0.034	-0.597	-0.018	-0.132	-0.257	-175.781
1.223	-0.230	-0.173	-0.047	-0.124	0.188	-0.586	-0.322	-0.345	-0.712	-0.569	-0.269	-0.122	0.404	0.269	0.603	0.528	-0.428	0.418	0.979	0.999	0.414	0.158	0.066	-0.448	0.187	0.002	-0.098	-171.875
1.099	-0.084	-0.076	-0.128	-0.422	-0.146	-0.768	-0.411	-0.350	-0.704	-0.462	-0.108	-0.244	0.119	0.425	0.527	0.559	-0.253	0.402	0.807	0.722	0.382	0.237	0.104	-0.311	0.378	0.139	0.054	-167.969
0.969	0.094	0.039	-0.191	-0.672	-0.469	-0.934	-0.518	-0.382	-0.694	-0.357	0.042	-0.343	-0.158	0.548	0.425	0.567	-0.039	0.377	0.606	0.429	0.359	0.317	0.144	-0.186	0.556	0.274	0.199	-164.062
0.859	0.264	0.142	-0.235	-0.854	-0.749	-1.070	-0.625	-0.424	-0.672	-0.256	0.178	-0.414	-0.409	0.626	0.298	0.534	0.180	0.333	0.386	0.142	0.344	0.390	0.186	-0.073	0.722	0.401	0.334	-160.156
0.776	0.387	0.211	-0.263	-0.956	-0.957	-1.158	-0.713	-0.456	-0.633	-0.159	0.297	-0.455	-0.621	0.653	0.148	0.456	0.371	0.266	0.160	-0.122	0.335	0.452	0.225	0.028	0.871	0.514	0.456	-156.250
0.721	0.434	0.234	-0.282	-0.981	-1.078	-1.189	-0.763	-0.462	-0.574	-0.070	0.396	-0.465	-0.781	0.632	-0.015	0.339	0.507	0.183	-0.058	-0.345	0.331	0.502	0.258	0.112	0.996	0.607	0.560	-152.344
0.684	0.393	0.212	-0.300	-0.939	-1.104	-1.157	-0.765	-0.431	-0.492	0.010	0.475	-0.446	-0.883	0.573	-0.178	0.200	0.571	0.093	-0.250	-0.513	0.332	0.540	0.280	0.173	1.087	0.671	0.638	-148.438
0.654	0.270	0.154	-0.318	-0.845	-1.041	-1.064	-0.713	-0.359	-0.392	0.075	0.530	-0.403	-0.924	0.487	-0.322	0.062	0.563	0.013	-0.401	-0.619	0.335	0.564	0.286	0.202	1.133	0.700	0.681	-144.531
0.623	0.092	0.078	-0.336	-0.717	-0.900	-0.919	-0.612	-0.253	-0.281	0.122	0.561	-0.345	-0.907	0.387	-0.430	-0.050	0.494	-0.047	-0.497	-0.662	0.337	0.571	0.269	0.191	1.122	0.688	0.684	-140.625
0.591	-0.101	0.005	-0.346	-0.568	-0.702	-0.735	-0.470	-0.124	-0.167	0.146	0.564	-0.281	-0.840	0.283	-0.485	-0.116	0.384	-0.078	-0.532	-0.645	0.333	0.555	0.224	0.133	1.049	0.630	0.639	-136.719
