FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.334	-0.269	-0.261	-0.019	-0.496	0.038	-1.105	-2.045	-1.687	-2.299	-2.356	-1.617	0.710	2.278	0.662	0.968	1.378	1.017	1.345	1.677	2.539	1.649	1.474	0.734	-0.213	-1.996	-1.082	-1.549	-199.219
-0.256	-0.242	-0.263	-0.247	-0.397	-0.155	-0.902	-1.784	-1.293	-2.049	-1.801	-1.315	0.699	2.218	0.422	0.848	1.029	0.876	1.080	1.593	2.416	1.323	1.082	0.554	-0.287	-1.729	-0.931	-1.388	-195.312
-0.219	-0.258	-0.299	-0.501	-0.301	-0.323	-0.687	-1.516	-0.894	-1.771	-1.253	-0.995	0.701	2.153	0.162	0.697	0.675	0.708	0.814	1.486	2.285	1.018	0.720	0.406	-0.330	-1.426	-0.749	-1.183	-191.406
-0.247	-0.343	-0.385	-0.790	-0.217	-0.451	-0.458	-1.244	-0.494	-1.453	-0.727	-0.650	0.720	2.077	-0.124	0.503	0.320	0.501	0.552	1.340	2.142	0.750	0.415	0.315	-0.317	-1.062	-0.519	-0.907	-187.500
-0.350	-0.503	-0.524	-1.108	-0.151	-0.532	-0.225	-0.978	-0.108	-1.095	-0.245	-0.283	0.753	1.979	-0.429	0.266	-0.024	0.257	0.306	1.154	1.981	0.538	0.188	0.291	-0.237	-0.629	-0.236	-0.553	-183.594
-0.512	-0.724	-0.697	-1.435	-0.111	-0.566	-0.009	-0.737	0.236	-0.717	0.164	0.088	0.787	1.852	-0.736	0.002	-0.340	-0.002	0.089	0.937	1.802	0.389	0.051	0.330	-0.090	-0.141	0.088	-0.135	-179.688
-0.703	-0.975	-0.878	-1.737	-0.105	-0.563	0.164	-0.544	0.508	-0.349	0.472	0.436	0.804	1.688	-1.015	-0.257	-0.606	-0.240	-0.081	0.710	1.609	0.309	0.007	0.417	0.113	0.372	0.425	0.310	-175.781
-0.883	-1.213	-1.029	-1.975	-0.135	-0.538	0.267	-0.420	0.675	-0.030	0.653	0.729	0.785	1.487	-1.234	-0.472	-0.793	-0.421	-0.187	0.502	1.410	0.297	0.048	0.523	0.343	0.860	0.736	0.731	-171.875
-1.014	-1.391	-1.120	-2.113	-0.197	-0.507	0.281	-0.376	0.717	0.203	0.690	0.936	0.714	1.255	-1.360	-0.605	-0.878	-0.515	-0.216	0.341	1.215	0.344	0.158	0.621	0.566	1.271	0.980	1.073	-167.969
-1.069	-1.475	-1.129	-2.126	-0.284	-0.484	0.202	-0.409	0.629	0.322	0.581	1.036	0.586	1.003	-1.369	-0.629	-0.844	-0.504	-0.163	0.249	1.035	0.439	0.312	0.681	0.746	1.551	1.121	1.289	-164.062
-1.034	-1.444	-1.048	-2.005	-0.382	-0.479	0.038	-0.501	0.424	0.314	0.338	1.020	0.403	0.747	-1.253	-0.534	-0.688	-0.394	-0.032	0.239	0.879	0.563	0.482	0.684	0.852	1.661	1.132	1.346	-160.156
-0.910	-1.295	-0.887	-1.762	-0.472	-0.491	-0.185	-0.622	0.134	0.189	-0.009	0.895	0.178	0.504	-1.018	-0.331	-0.424	-0.202	0.161	0.304	0.751	0.697	0.642	0.622	0.865	1.582	1.008	1.234	-156.250
-0.710	-1.048	-0.668	-1.426	-0.537	-0.515	-0.429	-0.739	-0.201	-0.030	-0.420	0.680	-0.067	0.290	-0.692	-0.049	-0.083	0.041	0.391	0.430	0.653	0.821	0.770	0.499	0.781	1.314	0.758	0.963	-152.344
-0.458	-0.732	-0.419	-1.039	-0.558	-0.535	-0.655	-0.818	-0.531	-0.303	-0.847	0.404	-0.308	0.120	-0.312	0.271	0.293	0.300	0.628	0.590	0.582	0.917	0.853	0.331	0.608	0.884	0.409	0.564	-148.438
-0.181	-0.384	-0.168	-0.642	-0.522	-0.533	-0.826	-0.834	-0.816	-0.584	-1.242	0.096	-0.519	0.001	0.073	0.586	0.655	0.538	0.844	0.754	0.535	0.972	0.887	0.138	0.371	0.333	-0.004	0.077	-144.531
0.093	-0.037	0.061	-0.272	-0.423	-0.491	-0.914	-0.776	-1.022	-0.833	-1.567	-0.214	-0.678	-0.063	0.416	0.854	0.959	0.729	1.011	0.897	0.510	0.981	0.878	-0.054	0.098	-0.284	-0.440	-0.452	-140.625
0.339	0.283	0.258	0.051	-0.262	-0.394	-0.907	-0.646	-1.132	-1.018	-1.794	-0.505	-0.771	-0.074	0.683	1.051	1.168	0.851	1.113	0.999	0.504	0.944	0.834	-0.226	-0.178	-0.908	-0.863	-0.976	-136.719
0.538	0.561	0.421	0.321	-0.048	-0.239	-0.809	-0.463	-1.142	-1.123	-1.909	-0.763	-0.791	-0.039	0.849	1.163	1.263	0.894	1.142	1.053	0.518	0.868	0.766	-0.363	-0.430	-1.483	-1.241	-1.455	-132.812
0.676	0.792	0.557	0.541	0.200	-0.032	-0.637	-0.249	-1.060	-1.147	-1.913	-0.980	-0.743	0.033	0.912	1.195	1.244	0.856	1.104	1.057	0.550	0.763	0.683	-0.457	-0.637	-1.959	-1.551	-1.856	-128.906
0.750	0.975	0.676	0.721	0.454	0.209	-0.420	-0.034	-0.905	-1.100	-1.817	-1.153	-0.638	0.130	0.884	1.161	1.128	0.741	1.008	1.020	0.597	0.638	0.588	-0.507	-0.788	-2.296	-1.771	-2.151	-125.000
0.763	1.112	0.782	0.868	0.686	0.455	-0.190	0.159	-0.701	-0.999	-1.640	-1.278	-0.492	0.239	0.787	1.080	0.942	0.561	0.870	0.952	0.654	0.504	0.483	-0.516	-0.877	-2.467	-1.886	-2.317	-121.094
0.723	1.204	0.871	0.984	0.864	0.675	0.024	0.312	-0.473	-0.860	-1.408	-1.351	-0.322	0.346	0.651	0.973	0.718	0.333	0.705	0.860	0.709	0.367	0.366	-0.487	-0.909	-2.458	-1.884	-2.338	-117.188
0.644	1.246	0.933	1.064	0.963	0.835	0.201	0.419	-0.244	-0.695	-1.143	-1.364	-0.145	0.439	0.502	0.852	0.488	0.079	0.526	0.752	0.749	0.231	0.234	-0.424	-0.887	-2.270	-1.757	-2.207	-113.281
0.538	1.232	0.948	1.099	0.966	0.911	0.331	0.479	-0.030	-0.507	-0.866	-1.309	0.027	0.503	0.359	0.722	0.273	-0.180	0.342	0.628	0.757	0.096	0.092	-0.331	-0.820	-1.919	-1.505	-1.925	-109.375
