FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.501	-0.389	-0.661	-0.507	0.110	-0.111	0.282	0.394	-0.070	0.199	-0.291	-0.127	1.325	1.774	-1.378	-0.226	-0.562	-0.201	0.119	1.139	1.839	0.817	0.486	1.891	-0.050	-0.057	0.887	-0.187	-199.219
-0.609	-0.384	-0.586	-0.418	0.220	-0.102	0.445	0.534	0.162	0.365	-0.035	-0.063	1.283	1.664	-1.345	-0.250	-0.667	-0.287	0.028	1.083	1.702	0.657	0.250	1.765	-0.095	-0.039	0.829	-0.125	-195.312
-0.701	-0.370	-0.523	-0.324	0.328	-0.084	0.603	0.672	0.396	0.533	0.211	0.011	1.233	1.547	-1.309	-0.264	-0.759	-0.373	-0.059	1.024	1.559	0.497	0.018	1.626	-0.156	-0.036	0.761	-0.065	-191.406
-0.759	-0.338	-0.474	-0.221	0.433	-0.051	0.745	0.795	0.624	0.696	0.435	0.097	1.165	1.417	-1.264	-0.258	-0.827	-0.454	-0.139	0.958	1.404	0.341	-0.202	1.460	-0.245	-0.060	0.672	-0.016	-187.500
-0.770	-0.284	-0.438	-0.107	0.529	-0.004	0.861	0.890	0.833	0.846	0.628	0.195	1.074	1.275	-1.206	-0.229	-0.860	-0.526	-0.205	0.884	1.239	0.194	-0.401	1.264	-0.366	-0.116	0.557	0.020	-183.594
-0.731	-0.208	-0.414	0.013	0.610	0.052	0.939	0.940	1.007	0.969	0.781	0.298	0.958	1.128	-1.130	-0.178	-0.857	-0.580	-0.254	0.801	1.067	0.064	-0.564	1.042	-0.512	-0.202	0.413	0.040	-179.688
-0.642	-0.114	-0.397	0.135	0.670	0.106	0.969	0.930	1.127	1.051	0.889	0.396	0.817	0.983	-1.036	-0.110	-0.819	-0.608	-0.280	0.711	0.896	-0.041	-0.680	0.804	-0.671	-0.311	0.246	0.041	-175.781
-0.511	-0.007	-0.377	0.253	0.704	0.150	0.945	0.848	1.177	1.079	0.948	0.472	0.656	0.850	-0.923	-0.032	-0.748	-0.598	-0.280	0.618	0.738	-0.111	-0.736	0.563	-0.826	-0.434	0.061	0.018	-171.875
-0.346	0.106	-0.342	0.359	0.709	0.174	0.865	0.694	1.144	1.039	0.956	0.507	0.479	0.737	-0.790	0.049	-0.652	-0.544	-0.250	0.531	0.603	-0.137	-0.726	0.332	-0.960	-0.564	-0.135	-0.036	-167.969
-0.156	0.219	-0.278	0.450	0.687	0.178	0.733	0.475	1.027	0.925	0.912	0.481	0.292	0.647	-0.640	0.130	-0.537	-0.439	-0.189	0.457	0.500	-0.117	-0.649	0.121	-1.061	-0.694	-0.336	-0.126	-164.062
0.051	0.329	-0.175	0.522	0.642	0.164	0.562	0.211	0.835	0.739	0.817	0.379	0.097	0.575	-0.471	0.209	-0.409	-0.286	-0.099	0.405	0.431	-0.050	-0.512	-0.065	-1.124	-0.822	-0.537	-0.256	-160.156
0.263	0.432	-0.024	0.575	0.583	0.142	0.367	-0.070	0.585	0.490	0.674	0.199	-0.100	0.516	-0.287	0.288	-0.276	-0.091	0.015	0.382	0.397	0.057	-0.330	-0.224	-1.149	-0.945	-0.734	-0.426	-156.250
0.472	0.525	0.172	0.609	0.520	0.125	0.168	-0.337	0.303	0.197	0.486	-0.053	-0.297	0.459	-0.092	0.366	-0.143	0.132	0.144	0.391	0.390	0.192	-0.123	-0.355	-1.140	-1.060	-0.922	-0.626	-152.344
0.668	0.608	0.405	0.628	0.462	0.124	-0.016	-0.563	0.016	-0.114	0.264	-0.356	-0.486	0.396	0.106	0.442	-0.019	0.365	0.274	0.430	0.402	0.338	0.089	-0.464	-1.103	-1.162	-1.099	-0.841	-148.438
0.840	0.679	0.656	0.635	0.417	0.151	-0.166	-0.724	-0.249	-0.415	0.019	-0.678	-0.662	0.319	0.296	0.516	0.091	0.588	0.394	0.490	0.419	0.476	0.283	-0.552	-1.043	-1.244	-1.258	-1.051	-144.531
0.979	0.741	0.903	0.634	0.387	0.210	-0.271	-0.808	-0.473	-0.678	-0.235	-0.984	-0.819	0.222	0.465	0.582	0.180	0.783	0.493	0.559	0.428	0.591	0.443	-0.622	-0.962	-1.296	-1.390	-1.231	-140.625
1.079	0.792	1.123	0.629	0.374	0.299	-0.328	-0.814	-0.643	-0.881	-0.483	-1.238	-0.949	0.104	0.598	0.634	0.246	0.936	0.562	0.619	0.417	0.668	0.557	-0.675	-0.862	-1.308	-1.487	-1.361	-136.719
1.135	0.836	1.294	0.625	0.371	0.412	-0.339	-0.752	-0.757	-1.013	-0.710	-1.410	-1.048	-0.032	0.688	0.667	0.287	1.038	0.596	0.655	0.375	0.700	0.622	-0.711	-0.742	-1.271	-1.539	-1.423	-132.812
1.144	0.870	1.405	0.623	0.372	0.536	-0.316	-0.638	-0.820	-1.069	-0.903	-1.482	-1.111	-0.183	0.728	0.676	0.306	1.088	0.598	0.654	0.297	0.686	0.642	-0.731	-0.602	-1.177	-1.539	-1.409	-128.906
1.108	0.895	1.451	0.624	0.371	0.659	-0.271	-0.494	-0.840	-1.055	-1.053	-1.448	-1.138	-0.342	0.720	0.658	0.306	1.085	0.570	0.605	0.182	0.631	0.624	-0.733	-0.446	-1.028	-1.483	-1.316	-125.000
1.027	0.905	1.437	0.626	0.363	0.766	-0.218	-0.339	-0.827	-0.984	-1.153	-1.313	-1.131	-0.501	0.671	0.614	0.294	1.037	0.520	0.508	0.034	0.541	0.580	-0.718	-0.280	-0.828	-1.371	-1.154	-121.094
0.908	0.899	1.372	0.626	0.345	0.846	-0.171	-0.195	-0.791	-0.873	-1.200	-1.093	-1.092	-0.650	0.590	0.546	0.276	0.949	0.457	0.370	-0.139	0.431	0.522	-0.685	-0.113	-0.590	-1.212	-0.935	-117.188
0.757	0.871	1.271	0.617	0.317	0.893	-0.138	-0.076	-0.741	-0.739	-1.196	-0.812	-1.026	-0.778	0.495	0.463	0.261	0.830	0.390	0.205	-0.321	0.311	0.460	-0.636	0.045	-0.331	-1.017	-0.678	-113.281
0.588	0.818	1.147	0.595	0.278	0.899	-0.125	0.007	-0.684	-0.602	-1.149	-0.501	-0.941	-0.877	0.399	0.374	0.257	0.691	0.328	0.033	-0.495	0.195	0.404	-0.575	0.182	-0.071	-0.801	-0.405	-109.375
0.412	0.742	1.010	0.554	0.229	0.860	-0.137	0.045	-0.627	-0.477	-1.074	-0.190	-0.843	-0.940	0.319	0.293	0.272	0.543	0.280	-0.124	-0.645	0.090	0.357	-0.504	0.291	0.171	-0.581	-0.136	-105.469
0.246	0.645	0.867	0.493	0.170	0.776	-0.173	0.034	-0.577	-0.376	-0.988	0.090	-0.738	-0.961	0.268	0.231	0.310	0.397	0.251	-0.248	-0.754	0.003	0.321	-0.426	0.366	0.378	-0.372	0.110	-101.562
0.105	0.534	0.720	0.412	0.099	0.648	-0.232	-0.024	-0.541	-0.307	-0.905	0.316	-0.630	-0.941	0.254	0.195	0.370	0.266	0.243	-0.323	-0.809	-0.067	0.293	-0.344	0.409	0.541	-0.182	0.319	-97.656
-0.004	0.414	0.567	0.317	0.018	0.480	-0.309	-0.125	-0.523	-0.272	-0.839	0.472	-0.523	-0.883	0.277	0.188	0.448	0.159	0.251	-0.345	-0.804	-0.122	0.266	-0.260	0.425	0.656	-0.014	0.486	-93.750
-0.075	0.294	0.404	0.213	-0.073	0.279	-0.398	-0.260	-0.524	-0.269	-0.792	0.557	-0.414	-0.791	0.333	0.208	0.534	0.082	0.269	-0.316	-0.740	-0.166	0.235	-0.172	0.421	0.727	0.134	0.611	-89.844
-0.114	0.179	0.226	0.108	-0.171	0.057	-0.489	-0.414	-0.542	-0.287	-0.755	0.576	-0.302	-0.672	0.408	0.244	0.614	0.032	0.286	-0.244	-0.622	-0.203	0.192	-0.081	0.408	0.764	0.269	0.698	-85.938
-0.135	0.070	0.029	0.008	-0.271	-0.173	-0.572	-0.569	-0.566	-0.316	-0.713	0.548	-0.182	-0.531	0.485	0.285	0.672	0.003	0.290	-0.145	-0.460	-0.236	0.134	0.014	0.395	0.778	0.398	0.757	-82.031
-0.153	-0.032	-0.186	-0.085	-0.369	-0.397	-0.633	-0.705	-0.585	-0.339	-0.643	0.494	-0.049	-0.373	0.544	0.317	0.697	-0.019	0.272	-0.035	-0.270	-0.263	0.058	0.112	0.389	0.781	0.527	0.801	-78.125
-0.184	-0.132	-0.417	-0.169	-0.458	-0.602	-0.661	-0.801	-0.580	-0.340	-0.525	0.439	0.099	-0.205	0.567	0.328	0.680	-0.048	0.225	0.070	-0.070	-0.282	-0.032	0.210	0.393	0.783	0.657	0.838	-74.219
-0.239	-0.234	-0.652	-0.247	-0.535	-0.776	-0.645	-0.839	-0.538	-0.307	-0.343	0.401	0.260	-0.034	0.541	0.310	0.619	-0.098	0.149	0.153	0.121	-0.292	-0.132	0.302	0.406	0.791	0.784	0.877	-70.312
-0.318	-0.342	-0.879	-0.324	-0.596	-0.912	-0.582	-0.807	-0.444	-0.231	-0.095	0.395	0.428	0.129	0.464	0.258	0.518	-0.177	0.049	0.200	0.281	-0.293	-0.236	0.379	0.427	0.807	0.900	0.918	-66.406
-0.412	-0.456	-1.079	-0.403	-0.641	-1.003	-0.476	-0.701	-0.296	-0.111	0.208	0.424	0.594	0.272	0.343	0.174	0.389	-0.282	-0.067	0.199	0.387	-0.288	-0.336	0.432	0.449	0.828	0.996	0.962	-62.500
-0.508	-0.574	-1.236	-0.485	-0.670	-1.048	-0.335	-0.527	-0.099	0.044	0.541	0.482	0.743	0.379	0.191	0.062	0.244	-0.405	-0.188	0.142	0.424	-0.282	-0.424	0.451	0.468	0.850	1.060	1.001	-58.594
-0.587	-0.689	-1.339	-0.569	-0.687	-1.046	-0.174	-0.301	0.133	0.221	0.869	0.559	0.860	0.440	0.029	-0.071	0.099	-0.528	-0.304	0.028	0.382	-0.283	-0.493	0.433	0.481	0.865	1.088	1.025	-54.688
-0.634	-0.791	-1.378	-0.649	-0.692	-1.000	-0.011	-0.046	0.375	0.400	1.154	0.635	0.933	0.444	-0.123	-0.216	-0.032	-0.633	-0.406	-0.139	0.261	-0.298	-0.540	0.376	0.487	0.865	1.076	1.024	-50.781
-0.644	-0.870	-1.351	-0.718	-0.688	-0.913	0.137	0.211	0.602	0.560	1.360	0.693	0.951	0.389	-0.244	-0.363	-0.138	-0.703	-0.489	-0.349	0.072	-0.331	-0.559	0.284	0.489	0.844	1.026	0.988	-46.875
-0.613	-0.916	-1.260	-0.767	-0.674	-0.793	0.254	0.442	0.785	0.681	1.463	0.714	0.911	0.276	-0.320	-0.502	-0.212	-0.726	-0.552	-0.583	-0.166	-0.380	-0.550	0.165	0.491	0.794	0.943	0.908	-42.969
-0.549	-0.923	-1.110	-0.790	-0.650	-0.645	0.330	0.625	0.902	0.747	1.448	0.688	0.811	0.114	-0.341	-0.623	-0.248	-0.700	-0.593	-0.820	-0.428	-0.442	-0.510	0.026	0.496	0.713	0.833	0.784	-39.062
-0.459	-0.890	-0.914	-0.784	-0.616	-0.480	0.356	0.741	0.938	0.747	1.318	0.608	0.659	-0.088	-0.306	-0.718	-0.248	-0.629	-0.612	-1.040	-0.688	-0.504	-0.440	-0.124	0.507	0.604	0.704	0.620	-35.156
-0.355	-0.824	-0.685	-0.749	-0.572	-0.308	0.332	0.785	0.889	0.677	1.088	0.481	0.462	-0.313	-0.217	-0.781	-0.215	-0.525	-0.609	-1.223	-0.925	-0.557	-0.345	-0.277	0.526	0.473	0.563	0.427	-31.250
-0.243	-0.731	-0.444	-0.688	-0.520	-0.142	0.260	0.757	0.757	0.542	0.786	0.319	0.235	-0.548	-0.085	-0.810	-0.157	-0.401	-0.585	-1.353	-1.120	-0.589	-0.228	-0.425	0.555	0.333	0.421	0.225	-27.344
-0.131	-0.626	-0.212	-0.610	-0.467	0.007	0.145	0.669	0.557	0.353	0.441	0.143	-0.008	-0.778	0.075	-0.807	-0.082	-0.272	-0.538	-1.425	-1.265	-0.592	-0.098	-0.560	0.593	0.200	0.288	0.035	-23.438
-0.022	-0.523	-0.009	-0.525	-0.417	0.127	-0.003	0.534	0.307	0.125	0.084	-0.026	-0.251	-0.990	0.246	-0.779	-0.003	-0.147	-0.472	-1.439	-1.358	-0.561	0.038	-0.672	0.643	0.093	0.174	-0.121	-19.531
0.080	-0.434	0.146	-0.444	-0.378	0.208	-0.178	0.368	0.027	-0.126	-0.261	-0.169	-0.476	-1.175	0.413	-0.733	0.072	-0.032	-0.388	-1.406	-1.405	-0.499	0.172	-0.752	0.707	0.030	0.093	-0.224	-15.625
0.176	-0.370	0.241	-0.380	-0.356	0.247	-0.367	0.186	-0.261	-0.382	-0.576	-0.271	-0.670	-1.326	0.561	-0.682	0.135	0.072	-0.292	-1.341	-1.416	-0.412	0.297	-0.789	0.785	0.027	0.056	-0.261	-11.719
0.263	-0.338	0.275	-0.340	-0.355	0.241	-0.562	-0.001	-0.542	-0.629	-0.852	-0.329	-0.821	-1.438	0.680	-0.636	0.185	0.167	-0.187	-1.262	-1.403	-0.309	0.408	-0.776	0.877	0.088	0.071	-0.231	-7.812
0.342	-0.336	0.257	-0.331	-0.377	0.195	-0.754	-0.184	-0.799	-0.857	-1.085	-0.346	-0.922	-1.510	0.767	-0.602	0.224	0.256	-0.080	-1.186	-1.378	-0.202	0.503	-0.713	0.977	0.212	0.142	-0.139	-3.906
0.412	-0.360	0.206	-0.350	-0.418	0.117	-0.931	-0.357	-1.021	-1.058	-1.274	-0.329	-0.968	-1.543	0.824	-0.587	0.257	0.340	0.024	-1.126	-1.352	-0.102	0.580	-0.603	1.077	0.384	0.266	-0.000	0.000
0.471	-0.398	0.144	-0.392	-0.473	0.022	-1.085	-0.511	-1.198	-1.225	-1.422	-0.291	-0.964	-1.541	0.853	-0.590	0.291	0.414	0.121	-1.091	-1.331	-0.017	0.636	-0.460	1.162	0.583	0.431	0.167	3.906
0.520	-0.438	0.090	-0.447	-0.533	-0.077	-1.205	-0.636	-1.317	-1.353	-1.527	-0.241	-0.915	-1.512	0.862	-0.609	0.327	0.472	0.207	-1.084	-1.318	0.044	0.670	-0.302	1.219	0.780	0.621	0.344	7.812
0.558	-0.470	0.057	-0.504	-0.589	-0.162	-1.282	-0.722	-1.370	-1.436	-1.582	-0.182	-0.831	-1.467	0.858	-0.637	0.367	0.503	0.279	-1.104	-1.317	0.077	0.679	-0.152	1.234	0.948	0.813	0.511	11.719
0.581	-0.486	0.048	-0.552	-0.633	-0.221	-1.307	-0.756	-1.347	-1.469	-1.579	-0.112	-0.726	-1.418	0.845	-0.668	0.404	0.496	0.331	-1.147	-1.327	0.081	0.664	-0.031	1.199	1.058	0.986	0.654	15.625
0.588	-0.482	0.054	-0.581	-0.659	-0.247	-1.278	-0.731	-1.244	-1.445	-1.506	-0.027	-0.611	-1.378	0.829	-0.692	0.433	0.447	0.362	-1.203	-1.348	0.054	0.624	0.044	1.112	1.093	1.122	0.766	19.531
0.573	-0.461	0.059	-0.589	-0.665	-0.238	-1.195	-0.644	-1.062	-1.363	-1.357	0.081	-0.499	-1.357	0.812	-0.703	0.445	0.354	0.369	-1.266	-1.379	0.002	0.563	0.064	0.977	1.040	1.207	0.843	23.438
0.536	-0.426	0.047	-0.573	-0.651	-0.199	-1.064	-0.502	-0.812	-1.223	-1.129	0.216	-0.399	-1.359	0.794	-0.694	0.440	0.227	0.355	-1.326	-1.417	-0.073	0.488	0.027	0.803	0.901	1.236	0.883	27.344
0.476	-0.384	0.007	-0.538	-0.625	-0.144	-0.898	-0.321	-0.513	-1.033	-0.835	0.375	-0.316	-1.384	0.778	-0.661	0.416	0.080	0.323	-1.374	-1.458	-0.163	0.405	-0.055	0.607	0.687	1.213	0.888	31.250
0.395	-0.341	-0.066	-0.493	-0.597	-0.090	-0.715	-0.124	-0.192	-0.804	-0.497	0.545	-0.253	-1.423	0.765	-0.603	0.379	-0.067	0.281	-1.405	-1.495	-0.261	0.323	-0.164	0.407	0.421	1.147	0.862	35.156
0.300	-0.304	-0.170	-0.448	-0.577	-0.052	-0.534	0.064	0.120	-0.553	-0.149	0.706	-0.206	-1.465	0.756	-0.525	0.335	-0.194	0.237	-1.417	-1.521	-0.361	0.249	-0.276	0.227	0.139	1.060	0.809	39.062
0.196	-0.280	-0.293	-0.417	-0.579	-0.048	-0.371	0.218	0.394	-0.299	0.167	0.835	-0.167	-1.495	0.750	-0.437	0.291	-0.288	0.197	-1.411	-1.532	-0.457	0.187	-0.362	0.090	-0.118	0.974	0.738	42.969
0.088	-0.275	-0.424	-0.413	-0.611	-0.085	-0.241	0.322	0.606	-0.060	0.413	0.908	-0.129	-1.501	0.743	-0.355	0.245	-0.345	0.162	-1.396	-1.527	-0.546	0.139	-0.399	0.021	-0.299	0.916	0.666	46.875
-0.022	-0.296	-0.550	-0.445	-0.680	-0.168	-0.147	0.369	0.747	0.154	0.564	0.910	-0.079	-1.477	0.722	-0.299	0.191	-0.373	0.127	-1.387	-1.512	-0.630	0.098	-0.368	0.047	-0.354	0.913	0.616	50.781
-0.139	-0.353	-0.663	-0.521	-0.785	-0.291	-0.088	0.368	0.822	0.336	0.614	0.839	-0.012	-1.428	0.671	-0.294	0.112	-0.391	0.081	-1.403	-1.500	-0.714	0.058	-0.258	0.189	-0.233	0.990	0.623	54.688
-0.274	-0.455	-0.766	-0.646	-0.924	-0.443	-0.052	0.333	0.854	0.491	0.581	0.713	0.076	-1.363	0.565	-0.364	-0.015	-0.429	0.004	-1.471	-1.512	-0.806	0.006	-0.071	0.464	0.103	1.169	0.731	58.594
-0.448	-0.615	-0.868	-0.826	-1.092	-0.614	-0.028	0.290	0.876	0.630	0.508	0.567	0.179	-1.305	0.376	-0.536	-0.217	-0.515	-0.126	-1.616	-1.572	-0.918	-0.069	0.182	0.884	0.682	1.467	0.991	62.500
-0.681	-0.845	-0.987	-1.061	-1.287	-0.793	-0.004	0.264	0.928	0.769	0.455	0.449	0.288	-1.280	0.081	-0.828	-0.517	-0.677	-0.328	-1.863	-1.706	-1.060	-0.177	0.485	1.450	1.516	1.893	1.451	66.406
-0.995	-1.154	-1.144	-1.354	-1.508	-0.975	0.024	0.274	1.048	0.922	0.480	0.406	0.385	-1.317	-0.339	-1.254	-0.931	-0.931	-0.615	-2.232	-1.936	-1.238	-0.320	0.821	2.159	2.600	2.454	2.152	70.312
-1.403	-1.547	-1.360	-1.704	-1.758	-1.163	0.053	0.331	1.260	1.095	0.629	0.469	0.453	-1.438	-0.886	-1.812	-1.458	-1.276	-0.990	-2.727	-2.275	-1.452	-0.491	1.173	2.997	3.912	3.145	3.109	74.219
-1.904	-2.020	-1.648	-2.107	-2.043	-1.363	0.071	0.436	1.574	1.281	0.915	0.644	0.474	-1.655	-1.545	-2.485	-2.079	-1.696	-1.440	-3.340	-2.722	-1.694	-0.676	1.534	3.945	5.410	3.952	4.306	78.125
-2.482	-2.557	-2.009	-2.552	-2.368	-1.585	0.059	0.577	1.977	1.460	1.310	0.900	0.440	-1.968	-2.280	-3.240	-2.757	-2.159	-1.935	-4.042	-3.257	-1.946	-0.853	1.899	4.977	7.037	4.852	5.688	82.031
