FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.425	0.293	0.355	0.860	0.694	0.444	-0.216	-0.143	-0.418	-0.572	0.048	-0.283	-0.612	-0.350	-0.192	0.089	-0.233	-0.454	-0.292	0.017	0.041	-0.234	-0.514	-0.618	-0.725	-0.666	-1.145	-0.139	-199.219
0.452	0.071	0.313	0.466	0.497	0.341	-0.008	-0.071	-0.260	-0.265	0.243	-0.112	-0.303	-0.139	-0.539	0.011	-0.326	-0.530	-0.279	0.056	0.144	-0.222	-0.452	-0.499	-0.603	-0.557	-0.871	0.004	-195.312
0.474	-0.116	0.288	0.128	0.341	0.268	0.195	0.001	-0.112	0.029	0.429	0.053	-0.006	0.064	-0.851	-0.054	-0.410	-0.599	-0.261	0.095	0.241	-0.206	-0.396	-0.379	-0.521	-0.472	-0.624	0.128	-191.406
0.486	-0.243	0.290	-0.113	0.252	0.246	0.386	0.071	0.019	0.297	0.593	0.204	0.266	0.252	-1.102	-0.094	-0.475	-0.652	-0.235	0.137	0.328	-0.181	-0.347	-0.256	-0.500	-0.423	-0.424	0.218	-187.500
0.485	-0.293	0.323	-0.239	0.244	0.281	0.556	0.138	0.125	0.527	0.728	0.333	0.499	0.419	-1.279	-0.103	-0.510	-0.684	-0.196	0.183	0.403	-0.142	-0.305	-0.132	-0.543	-0.415	-0.282	0.266	-183.594
0.473	-0.267	0.383	-0.250	0.310	0.367	0.697	0.196	0.206	0.708	0.823	0.434	0.684	0.557	-1.378	-0.079	-0.513	-0.693	-0.144	0.231	0.465	-0.091	-0.267	-0.014	-0.635	-0.441	-0.201	0.271	-179.688
0.453	-0.176	0.458	-0.170	0.430	0.482	0.796	0.237	0.259	0.832	0.872	0.503	0.809	0.663	-1.405	-0.025	-0.480	-0.676	-0.079	0.282	0.513	-0.031	-0.228	0.090	-0.747	-0.486	-0.175	0.237	-175.781
0.431	-0.042	0.531	-0.038	0.569	0.598	0.845	0.253	0.286	0.890	0.870	0.535	0.869	0.732	-1.373	0.052	-0.413	-0.635	-0.003	0.336	0.547	0.037	-0.184	0.172	-0.840	-0.527	-0.188	0.175	-171.875
0.412	0.104	0.585	0.103	0.690	0.682	0.835	0.236	0.285	0.879	0.815	0.528	0.863	0.763	-1.297	0.146	-0.309	-0.569	0.084	0.391	0.569	0.110	-0.128	0.222	-0.879	-0.544	-0.222	0.094	-167.969
0.402	0.236	0.605	0.215	0.761	0.709	0.765	0.182	0.257	0.798	0.708	0.482	0.797	0.758	-1.194	0.248	-0.173	-0.481	0.181	0.449	0.579	0.185	-0.056	0.236	-0.840	-0.521	-0.258	0.006	-164.062
0.403	0.332	0.583	0.274	0.764	0.667	0.640	0.093	0.202	0.651	0.554	0.399	0.683	0.722	-1.078	0.352	-0.010	-0.376	0.284	0.509	0.579	0.260	0.029	0.208	-0.719	-0.454	-0.281	-0.083	-160.156
0.417	0.381	0.520	0.273	0.692	0.557	0.475	-0.025	0.123	0.451	0.362	0.283	0.534	0.663	-0.960	0.452	0.169	-0.264	0.389	0.569	0.570	0.329	0.119	0.138	-0.533	-0.348	-0.284	-0.169	-156.250
0.442	0.382	0.427	0.223	0.556	0.394	0.286	-0.159	0.027	0.213	0.146	0.142	0.370	0.587	-0.843	0.540	0.351	-0.153	0.486	0.626	0.549	0.384	0.203	0.029	-0.314	-0.219	-0.268	-0.249	-152.344
0.476	0.346	0.318	0.145	0.376	0.204	0.092	-0.291	-0.079	-0.041	-0.079	-0.014	0.205	0.504	-0.731	0.613	0.518	-0.054	0.563	0.674	0.514	0.418	0.267	-0.111	-0.099	-0.091	-0.239	-0.324	-148.438
0.511	0.289	0.212	0.064	0.178	0.015	-0.089	-0.403	-0.181	-0.287	-0.295	-0.173	0.053	0.418	-0.623	0.665	0.654	0.023	0.611	0.704	0.464	0.423	0.298	-0.267	0.074	0.017	-0.209	-0.393	-144.531
