FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.912	0.208	0.216	0.006	0.338	0.559	0.219	0.690	0.863	-0.407	-0.053	-0.646	-0.268	0.220	1.062	0.877	0.572	-0.349	0.701	0.758	0.764	0.828	0.198	-0.299	-1.225	-1.729	-1.467	-1.358	-199.219
0.896	0.335	0.312	0.104	0.386	0.543	0.100	0.420	0.555	-0.542	-0.247	-0.792	-0.305	0.202	1.062	0.809	0.551	-0.145	0.646	0.762	0.721	0.821	0.344	-0.194	-1.125	-1.618	-1.425	-1.354	-195.312
0.865	0.447	0.379	0.185	0.415	0.509	-0.018	0.160	0.256	-0.666	-0.423	-0.923	-0.335	0.190	1.057	0.753	0.553	0.052	0.618	0.778	0.691	0.828	0.486	-0.085	-1.022	-1.503	-1.372	-1.337	-191.406
0.808	0.532	0.398	0.238	0.413	0.450	-0.132	-0.079	-0.019	-0.766	-0.567	-1.022	-0.353	0.187	1.039	0.717	0.586	0.234	0.627	0.807	0.679	0.852	0.613	0.031	-0.911	-1.382	-1.296	-1.297	-187.500
0.721	0.583	0.359	0.256	0.376	0.363	-0.236	-0.286	-0.262	-0.835	-0.668	-1.077	-0.355	0.194	1.001	0.701	0.650	0.394	0.675	0.851	0.686	0.889	0.714	0.152	-0.790	-1.251	-1.193	-1.222	-183.594
0.604	0.597	0.267	0.240	0.308	0.256	-0.326	-0.456	-0.465	-0.869	-0.722	-1.084	-0.340	0.209	0.937	0.700	0.736	0.529	0.749	0.901	0.707	0.930	0.777	0.273	-0.659	-1.108	-1.060	-1.109	-179.688
0.466	0.575	0.139	0.196	0.222	0.141	-0.393	-0.582	-0.620	-0.869	-0.732	-1.039	-0.311	0.229	0.846	0.706	0.826	0.634	0.828	0.945	0.733	0.959	0.792	0.388	-0.519	-0.952	-0.901	-0.957	-175.781
0.320	0.520	-0.003	0.133	0.134	0.036	-0.432	-0.661	-0.724	-0.837	-0.703	-0.947	-0.269	0.245	0.727	0.703	0.898	0.700	0.886	0.968	0.751	0.959	0.757	0.487	-0.375	-0.784	-0.723	-0.771	-171.875
0.181	0.439	-0.134	0.064	0.061	-0.043	-0.437	-0.688	-0.771	-0.777	-0.643	-0.815	-0.221	0.251	0.585	0.678	0.927	0.719	0.897	0.956	0.746	0.918	0.674	0.560	-0.230	-0.604	-0.536	-0.560	-167.969
0.058	0.341	-0.235	-0.001	0.017	-0.082	-0.406	-0.660	-0.758	-0.694	-0.556	-0.650	-0.172	0.240	0.424	0.618	0.892	0.681	0.841	0.897	0.705	0.825	0.551	0.600	-0.089	-0.414	-0.352	-0.333	-164.062
-0.040	0.235	-0.291	-0.052	0.007	-0.073	-0.339	-0.580	-0.684	-0.592	-0.448	-0.465	-0.126	0.205	0.252	0.515	0.784	0.582	0.707	0.787	0.620	0.680	0.403	0.603	0.044	-0.221	-0.183	-0.104	-160.156
-0.112	0.133	-0.297	-0.083	0.032	-0.017	-0.239	-0.450	-0.555	-0.474	-0.321	-0.271	-0.087	0.149	0.075	0.370	0.603	0.423	0.499	0.631	0.493	0.488	0.244	0.570	0.163	-0.029	-0.037	0.112	-156.250
-0.163	0.046	-0.254	-0.088	0.086	0.076	-0.113	-0.281	-0.381	-0.344	-0.179	-0.083	-0.057	0.075	-0.099	0.193	0.362	0.219	0.232	0.444	0.334	0.263	0.090	0.503	0.262	0.149	0.079	0.302	-152.344
