FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-1.287	-1.836	-1.846	-1.605	-0.798	-1.242	0.627	-0.651	-0.477	0.757	0.079	1.613	1.647	0.867	-0.656	-1.014	0.022	-0.303	0.059	-0.437	0.442	0.884	0.685	1.612	1.263	1.818	1.836	2.198	-199.219
-0.886	-1.351	-1.408	-1.144	-0.425	-0.753	0.713	-0.539	-0.703	0.700	-0.090	1.272	1.476	0.682	-0.322	-0.628	0.301	-0.082	0.251	-0.275	0.333	0.921	0.631	1.278	0.812	1.211	1.358	1.621	-195.312
-0.517	-0.900	-1.001	-0.711	-0.070	-0.305	0.786	-0.426	-0.892	0.632	-0.245	0.959	1.307	0.512	-0.022	-0.268	0.551	0.113	0.423	-0.120	0.245	0.934	0.568	0.958	0.401	0.658	0.909	1.104	-191.406
-0.205	-0.512	-0.649	-0.329	0.243	0.065	0.829	-0.321	-1.022	0.539	-0.376	0.696	1.144	0.370	0.219	0.047	0.751	0.260	0.562	0.024	0.199	0.905	0.491	0.666	0.060	0.201	0.517	0.693	-187.500
0.031	-0.208	-0.374	-0.020	0.491	0.333	0.832	-0.233	-1.082	0.413	-0.474	0.497	0.989	0.269	0.386	0.305	0.884	0.346	0.659	0.157	0.206	0.835	0.404	0.418	-0.185	-0.131	0.203	0.422	-183.594
0.184	-0.000	-0.190	0.200	0.653	0.480	0.786	-0.174	-1.074	0.254	-0.536	0.369	0.850	0.215	0.470	0.500	0.941	0.366	0.712	0.275	0.268	0.731	0.316	0.227	-0.319	-0.322	-0.020	0.307	-179.688
0.258	0.112	-0.095	0.323	0.714	0.508	0.693	-0.156	-1.016	0.065	-0.563	0.311	0.730	0.211	0.478	0.631	0.924	0.323	0.726	0.375	0.373	0.616	0.239	0.104	-0.340	-0.377	-0.148	0.342	-175.781
0.268	0.142	-0.080	0.353	0.667	0.428	0.556	-0.187	-0.934	-0.143	-0.562	0.304	0.635	0.252	0.427	0.709	0.844	0.232	0.711	0.457	0.506	0.514	0.189	0.053	-0.264	-0.319	-0.187	0.494	-171.875
0.241	0.117	-0.117	0.307	0.520	0.269	0.387	-0.275	-0.859	-0.356	-0.547	0.324	0.568	0.327	0.342	0.751	0.723	0.117	0.680	0.523	0.647	0.446	0.176	0.070	-0.121	-0.188	-0.155	0.714	-167.969
0.207	0.068	-0.178	0.213	0.294	0.066	0.201	-0.419	-0.822	-0.555	-0.533	0.340	0.532	0.423	0.255	0.779	0.587	0.005	0.645	0.575	0.780	0.424	0.204	0.141	0.047	-0.035	-0.078	0.939	-164.062
0.195	0.027	-0.230	0.101	0.022	-0.140	0.017	-0.613	-0.840	-0.724	-0.535	0.324	0.527	0.526	0.193	0.811	0.464	-0.078	0.616	0.618	0.893	0.451	0.268	0.246	0.196	0.091	0.017	1.109	-160.156
0.223	0.016	-0.251	0.001	-0.253	-0.316	-0.144	-0.839	-0.919	-0.844	-0.564	0.260	0.553	0.623	0.177	0.855	0.373	-0.113	0.598	0.653	0.978	0.515	0.357	0.361	0.285	0.150	0.103	1.175	-156.250
0.294	0.042	-0.229	-0.067	-0.489	-0.436	-0.261	-1.073	-1.043	-0.901	-0.621	0.148	0.606	0.704	0.210	0.909	0.320	-0.095	0.588	0.678	1.034	0.596	0.455	0.464	0.292	0.121	0.163	1.114	-152.344
0.398	0.099	-0.169	-0.095	-0.651	-0.491	-0.316	-1.283	-1.188	-0.883	-0.698	0.003	0.683	0.761	0.281	0.957	0.302	-0.033	0.577	0.684	1.057	0.670	0.541	0.542	0.214	0.007	0.192	0.931	-148.438
0.509	0.167	-0.086	-0.088	-0.718	-0.487	-0.299	-1.439	-1.317	-0.786	-0.776	-0.147	0.775	0.788	0.366	0.975	0.302	0.052	0.553	0.661	1.045	0.715	0.600	0.586	0.072	-0.165	0.196	0.657	-144.531
0.598	0.221	-0.006	-0.060	-0.685	-0.443	-0.207	-1.515	-1.395	-0.613	-0.835	-0.269	0.869	0.783	0.433	0.938	0.299	0.133	0.503	0.596	0.995	0.713	0.621	0.599	-0.093	-0.348	0.191	0.345	-140.625
0.632	0.238	0.048	-0.032	-0.567	-0.383	-0.046	-1.494	-1.393	-0.377	-0.852	-0.334	0.951	0.742	0.451	0.826	0.273	0.182	0.419	0.481	0.903	0.658	0.597	0.590	-0.234	-0.488	0.198	0.055	-136.719
0.589	0.200	0.056	-0.022	-0.394	-0.333	0.163	-1.375	-1.296	-0.099	-0.808	-0.323	1.004	0.669	0.398	0.633	0.211	0.179	0.298	0.314	0.767	0.553	0.531	0.571	-0.308	-0.537	0.236	-0.162	-132.812
0.459	0.105	0.013	-0.044	-0.201	-0.311	0.396	-1.166	-1.101	0.193	-0.696	-0.232	1.013	0.564	0.267	0.370	0.109	0.114	0.144	0.105	0.590	0.411	0.430	0.550	-0.288	-0.467	0.313	-0.271	-128.906
0.251	-0.036	-0.073	-0.098	-0.026	-0.320	0.621	-0.891	-0.821	0.470	-0.519	-0.069	0.965	0.434	0.069	0.063	-0.025	-0.007	-0.033	-0.128	0.380	0.249	0.304	0.530	-0.173	-0.277	0.426	-0.267	-125.000
-0.007	-0.198	-0.178	-0.174	0.104	-0.353	0.808	-0.576	-0.482	0.701	-0.294	0.138	0.855	0.287	-0.169	-0.247	-0.171	-0.164	-0.214	-0.358	0.154	0.087	0.167	0.505	0.011	-0.001	0.554	-0.171	-121.094
-0.273	-0.346	-0.268	-0.252	0.174	-0.386	0.932	-0.249	-0.118	0.858	-0.051	0.357	0.683	0.135	-0.405	-0.516	-0.305	-0.329	-0.378	-0.555	-0.066	-0.058	0.032	0.464	0.214	0.302	0.665	-0.029	-117.188
-0.495	-0.444	-0.306	-0.305	0.187	-0.394	0.976	0.064	0.233	0.922	0.174	0.548	0.459	-0.010	-0.597	-0.700	-0.402	-0.467	-0.504	-0.687	-0.258	-0.174	-0.091	0.389	0.372	0.554	0.718	0.099	-113.281
-0.625	-0.459	-0.264	-0.308	0.159	-0.349	0.935	0.342	0.535	0.880	0.345	0.675	0.197	-0.137	-0.704	-0.767	-0.439	-0.545	-0.574	-0.732	-0.397	-0.255	-0.193	0.262	0.428	0.679	0.674	0.155	-109.375
-0.627	-0.373	-0.125	-0.243	0.112	-0.236	0.814	0.572	0.759	0.735	0.433	0.712	-0.082	-0.237	-0.698	-0.702	-0.402	-0.541	-0.578	-0.678	-0.469	-0.303	-0.272	0.075	0.339	0.622	0.506	0.097	-105.469
-0.489	-0.185	0.107	-0.105	0.072	-0.056	0.627	0.746	0.888	0.501	0.425	0.646	-0.355	-0.302	-0.573	-0.511	-0.289	-0.449	-0.516	-0.526	-0.466	-0.327	-0.329	-0.170	0.098	0.362	0.208	-0.097	-101.562
-0.226	0.085	0.407	0.092	0.057	0.174	0.397	0.860	0.920	0.205	0.323	0.482	-0.598	-0.333	-0.341	-0.222	-0.113	-0.280	-0.402	-0.296	-0.396	-0.339	-0.369	-0.458	-0.269	-0.077	-0.201	-0.416	-97.656
0.119	0.400	0.732	0.322	0.076	0.421	0.148	0.917	0.867	-0.116	0.149	0.239	-0.790	-0.332	-0.037	0.118	0.099	-0.062	-0.258	-0.017	-0.275	-0.348	-0.396	-0.757	-0.703	-0.632	-0.678	-0.822	-93.750
0.486	0.714	1.033	0.553	0.126	0.647	-0.095	0.922	0.751	-0.422	-0.065	-0.050	-0.916	-0.304	0.291	0.458	0.314	0.167	-0.111	0.272	-0.126	-0.361	-0.416	-1.030	-1.125	-1.212	-1.161	-1.259	-89.844
0.811	0.978	1.259	0.748	0.196	0.814	-0.308	0.880	0.600	-0.673	-0.279	-0.349	-0.967	-0.254	0.591	0.742	0.497	0.366	0.013	0.532	0.026	-0.378	-0.431	-1.235	-1.453	-1.715	-1.580	-1.664	-85.938
1.036	1.155	1.371	0.879	0.272	0.895	-0.478	0.799	0.439	-0.841	-0.459	-0.623	-0.942	-0.188	0.817	0.932	0.619	0.501	0.095	0.730	0.157	-0.392	-0.438	-1.337	-1.619	-2.052	-1.872	-1.978	-82.031
1.125	1.221	1.349	0.929	0.341	0.878	-0.597	0.684	0.290	-0.910	-0.577	-0.843	-0.849	-0.109	0.936	1.003	0.662	0.551	0.128	0.845	0.253	-0.392	-0.432	-1.314	-1.583	-2.165	-1.992	-2.159	-78.125
1.068	1.172	1.194	0.898	0.391	0.771	-0.664	0.542	0.163	-0.885	-0.623	-0.994	-0.703	-0.023	0.935	0.952	0.622	0.512	0.116	0.871	0.308	-0.365	-0.408	-1.161	-1.340	-2.032	-1.917	-2.188	-74.219
0.878	1.022	0.931	0.796	0.417	0.594	-0.688	0.382	0.062	-0.782	-0.600	-1.067	-0.524	0.068	0.820	0.795	0.509	0.397	0.072	0.812	0.321	-0.302	-0.358	-0.891	-0.920	-1.672	-1.654	-2.069	-70.312
0.593	0.797	0.600	0.641	0.417	0.379	-0.681	0.216	-0.016	-0.630	-0.520	-1.068	-0.335	0.154	0.613	0.556	0.338	0.227	0.011	0.683	0.296	-0.205	-0.280	-0.535	-0.381	-1.138	-1.234	-1.825	-66.406
0.256	0.529	0.249	0.458	0.390	0.158	-0.656	0.061	-0.069	-0.459	-0.401	-1.007	-0.161	0.225	0.343	0.270	0.132	0.034	-0.055	0.500	0.233	-0.084	-0.177	-0.133	0.204	-0.505	-0.706	-1.491	-62.500
-0.083	0.251	-0.073	0.268	0.337	-0.037	-0.627	-0.066	-0.095	-0.298	-0.259	-0.900	-0.026	0.264	0.047	-0.034	-0.089	-0.155	-0.119	0.282	0.132	0.039	-0.060	0.263	0.759	0.146	-0.134	-1.109	-58.594
-0.385	-0.009	-0.325	0.089	0.259	-0.185	-0.601	-0.144	-0.084	-0.162	-0.105	-0.765	0.050	0.255	-0.242	-0.328	-0.305	-0.313	-0.179	0.044	-0.009	0.135	0.055	0.606	1.214	0.738	0.419	-0.718	-54.688
-0.620	-0.232	-0.483	-0.068	0.158	-0.274	-0.583	-0.159	-0.023	-0.058	0.058	-0.620	0.055	0.184	-0.494	-0.592	-0.500	-0.425	-0.239	-0.198	-0.191	0.177	0.148	0.851	1.520	1.208	0.893	-0.350	-50.781
-0.774	-0.402	-0.540	-0.195	0.040	-0.302	-0.572	-0.101	0.097	0.018	0.230	-0.480	-0.017	0.047	-0.689	-0.810	-0.665	-0.481	-0.303	-0.432	-0.408	0.142	0.198	0.968	1.645	1.517	1.238	-0.030	-46.875
-0.844	-0.513	-0.507	-0.289	-0.085	-0.278	-0.563	0.028	0.281	0.077	0.414	-0.358	-0.162	-0.149	-0.811	-0.975	-0.791	-0.481	-0.373	-0.640	-0.646	0.024	0.192	0.940	1.585	1.649	1.423	0.225	-42.969
