FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.617	0.334	0.930	-0.188	-0.278	-0.326	-0.483	-0.702	-0.870	-0.304	-0.582	0.679	0.219	0.662	-0.815	0.094	-0.043	0.093	0.599	0.277	0.643	0.354	1.209	0.070	-0.911	-1.115	-0.851	-0.155	-199.219
0.585	0.340	0.754	-0.095	-0.010	-0.072	-0.487	-0.751	-1.044	-0.547	-0.925	0.362	0.311	0.802	-0.489	0.368	0.169	0.025	0.909	0.564	0.911	0.640	1.217	-0.051	-1.032	-1.328	-1.088	-0.417	-195.312
0.562	0.342	0.590	-0.007	0.244	0.161	-0.491	-0.795	-1.191	-0.766	-1.237	0.048	0.383	0.917	-0.190	0.626	0.367	-0.037	1.178	0.830	1.143	0.907	1.233	-0.164	-1.145	-1.517	-1.306	-0.667	-191.406
0.549	0.335	0.447	0.067	0.465	0.352	-0.489	-0.823	-1.281	-0.930	-1.485	-0.250	0.421	0.980	0.058	0.846	0.534	-0.098	1.369	1.052	1.303	1.131	1.253	-0.260	-1.232	-1.650	-1.483	-0.888	-187.500
0.544	0.316	0.326	0.119	0.641	0.484	-0.476	-0.824	-1.290	-1.016	-1.642	-0.516	0.417	0.972	0.237	1.011	0.654	-0.161	1.453	1.213	1.367	1.291	1.268	-0.330	-1.279	-1.704	-1.595	-1.061	-183.594
0.539	0.283	0.227	0.145	0.764	0.549	-0.447	-0.787	-1.200	-1.008	-1.690	-0.736	0.369	0.880	0.340	1.108	0.712	-0.237	1.421	1.301	1.322	1.366	1.263	-0.371	-1.274	-1.660	-1.627	-1.168	-179.688
0.527	0.238	0.142	0.143	0.829	0.547	-0.398	-0.704	-1.008	-0.900	-1.622	-0.891	0.283	0.705	0.368	1.131	0.698	-0.336	1.277	1.312	1.170	1.346	1.220	-0.382	-1.210	-1.508	-1.568	-1.193	-175.781
0.498	0.183	0.065	0.112	0.837	0.482	-0.326	-0.573	-0.720	-0.696	-1.440	-0.965	0.170	0.457	0.330	1.079	0.609	-0.467	1.036	1.246	0.924	1.226	1.125	-0.363	-1.083	-1.248	-1.415	-1.126	-171.875
0.447	0.115	-0.014	0.053	0.790	0.363	-0.235	-0.394	-0.353	-0.413	-1.153	-0.946	0.044	0.152	0.237	0.954	0.448	-0.632	0.725	1.108	0.607	1.013	0.971	-0.319	-0.896	-0.887	-1.173	-0.962	-167.969
0.369	0.034	-0.102	-0.031	0.695	0.202	-0.133	-0.177	0.067	-0.078	-0.782	-0.829	-0.080	-0.183	0.106	0.767	0.225	-0.828	0.372	0.904	0.245	0.725	0.761	-0.256	-0.653	-0.445	-0.857	-0.708	-164.062
