FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
-0.115	-0.870	-1.725	-2.751	-0.960	-0.582	0.115	0.604	0.684	0.290	0.681	1.600	-0.181	-0.677	-0.685	-1.044	-0.550	-0.304	-0.634	-1.447	-0.939	0.748	0.988	0.868	1.137	1.765	1.040	2.023	-199.219
0.021	-0.436	-1.197	-2.241	-0.741	-0.193	-0.024	0.476	0.196	-0.092	0.077	1.113	-0.133	-0.429	-0.384	-0.716	-0.276	-0.025	-0.362	-1.085	-0.485	0.686	0.942	0.602	0.856	1.440	0.540	1.488	-195.312
0.173	-0.033	-0.688	-1.751	-0.523	0.171	-0.174	0.350	-0.259	-0.461	-0.494	0.645	-0.108	-0.215	-0.089	-0.404	-0.036	0.223	-0.127	-0.750	-0.073	0.616	0.882	0.345	0.594	1.119	0.064	0.972	-191.406
0.345	0.315	-0.218	-1.302	-0.311	0.480	-0.342	0.223	-0.652	-0.803	-0.998	0.214	-0.123	-0.059	0.191	-0.120	0.150	0.423	0.048	-0.458	0.263	0.539	0.803	0.107	0.362	0.809	-0.362	0.491	-187.500
0.531	0.588	0.192	-0.910	-0.113	0.715	-0.525	0.097	-0.961	-1.103	-1.408	-0.166	-0.185	0.020	0.446	0.126	0.271	0.563	0.152	-0.225	0.498	0.457	0.707	-0.101	0.168	0.513	-0.711	0.062	-183.594
0.714	0.773	0.527	-0.593	0.064	0.869	-0.709	-0.019	-1.170	-1.343	-1.705	-0.482	-0.289	0.019	0.662	0.322	0.325	0.642	0.193	-0.060	0.620	0.376	0.605	-0.270	0.015	0.238	-0.965	-0.302	-179.688
0.868	0.868	0.776	-0.359	0.209	0.942	-0.873	-0.114	-1.272	-1.507	-1.874	-0.727	-0.421	-0.053	0.825	0.462	0.322	0.667	0.189	0.036	0.631	0.301	0.510	-0.392	-0.097	-0.009	-1.111	-0.589	-175.781
0.971	0.877	0.931	-0.214	0.310	0.941	-0.997	-0.178	-1.268	-1.583	-1.914	-0.897	-0.560	-0.176	0.924	0.542	0.279	0.649	0.170	0.071	0.548	0.240	0.438	-0.462	-0.174	-0.223	-1.146	-0.796	-171.875
1.006	0.811	0.990	-0.157	0.357	0.872	-1.062	-0.205	-1.167	-1.568	-1.827	-0.995	-0.683	-0.322	0.954	0.566	0.220	0.604	0.163	0.058	0.398	0.201	0.404	-0.476	-0.220	-0.396	-1.074	-0.925	-167.969
0.968	0.686	0.956	-0.181	0.340	0.740	-1.064	-0.192	-0.982	-1.468	-1.628	-1.027	-0.769	-0.467	0.915	0.541	0.165	0.546	0.189	0.013	0.216	0.187	0.418	-0.437	-0.239	-0.524	-0.911	-0.984	-164.062
0.861	0.521	0.840	-0.276	0.257	0.554	-1.005	-0.144	-0.731	-1.297	-1.333	-0.998	-0.806	-0.589	0.817	0.478	0.128	0.486	0.254	-0.050	0.032	0.200	0.478	-0.349	-0.233	-0.601	-0.674	-0.981	-160.156
0.699	0.331	0.658	-0.426	0.111	0.322	-0.901	-0.069	-0.432	-1.074	-0.965	-0.917	-0.792	-0.679	0.672	0.383	0.113	0.432	0.350	-0.125	-0.133	0.235	0.576	-0.221	-0.197	-0.619	-0.386	-0.924	-156.250
0.499	0.129	0.432	-0.615	-0.086	0.063	-0.767	0.027	-0.104	-0.818	-0.551	-0.789	-0.732	-0.738	0.496	0.261	0.111	0.384	0.451	-0.212	-0.270	0.283	0.695	-0.063	-0.125	-0.574	-0.067	-0.819	-152.344
0.279	-0.078	0.188	-0.823	-0.315	-0.201	-0.621	0.137	0.236	-0.547	-0.115	-0.622	-0.641	-0.772	0.305	0.111	0.104	0.340	0.529	-0.321	-0.383	0.332	0.809	0.109	-0.010	-0.464	0.258	-0.673	-148.438
