FP1	F3	F7	FC3	C3	C5	P3	P7	PO7	PO3	O1	Oz	Pz	CPz	FP2	Fz	F4	F8	FC4	FCz	Cz	C4	C6	P4	P8	PO8	PO4	O2	time
0.363	-0.425	-0.145	0.116	0.130	0.585	-1.371	-0.705	-0.502	-0.506	-0.685	-0.609	-0.007	0.240	0.934	0.630	0.162	1.984	0.664	0.871	0.572	0.655	0.695	-0.194	0.317	-0.427	-0.212	-1.065	-199.219
0.364	-0.172	-0.057	0.294	0.209	0.457	-1.392	-0.763	-0.678	-0.519	-0.814	-0.623	0.067	0.274	0.931	0.651	0.394	1.301	0.789	0.905	0.641	0.743	0.643	-0.131	0.190	-0.426	-0.281	-0.919	-195.312
0.374	0.069	0.031	0.462	0.286	0.341	-1.403	-0.810	-0.829	-0.523	-0.929	-0.631	0.141	0.302	0.907	0.664	0.597	0.696	0.881	0.925	0.701	0.807	0.587	-0.071	0.062	-0.429	-0.335	-0.787	-191.406
0.402	0.284	0.120	0.611	0.360	0.251	-1.393	-0.840	-0.937	-0.509	-1.017	-0.634	0.217	0.320	0.847	0.663	0.747	0.227	0.916	0.919	0.745	0.831	0.525	-0.011	-0.065	-0.441	-0.355	-0.681	-187.500
0.448	0.460	0.207	0.730	0.429	0.196	-1.356	-0.843	-0.988	-0.472	-1.066	-0.629	0.295	0.331	0.749	0.644	0.830	-0.079	0.884	0.884	0.771	0.811	0.459	0.049	-0.189	-0.464	-0.333	-0.610	-183.594
0.500	0.588	0.282	0.810	0.493	0.175	-1.288	-0.815	-0.971	-0.411	-1.069	-0.615	0.380	0.336	0.623	0.607	0.846	-0.228	0.785	0.822	0.778	0.747	0.387	0.111	-0.304	-0.494	-0.266	-0.577	-179.688
0.541	0.662	0.338	0.845	0.547	0.183	-1.187	-0.750	-0.887	-0.327	-1.021	-0.589	0.473	0.343	0.488	0.555	0.804	-0.257	0.633	0.739	0.768	0.650	0.312	0.174	-0.405	-0.528	-0.162	-0.578	-175.781
0.550	0.682	0.365	0.832	0.589	0.211	-1.055	-0.649	-0.744	-0.225	-0.923	-0.554	0.572	0.355	0.368	0.492	0.717	-0.217	0.451	0.647	0.744	0.535	0.238	0.239	-0.485	-0.558	-0.031	-0.603	-171.875
0.517	0.651	0.363	0.775	0.615	0.253	-0.899	-0.518	-0.558	-0.116	-0.785	-0.513	0.669	0.374	0.282	0.421	0.598	-0.164	0.264	0.554	0.710	0.421	0.167	0.304	-0.537	-0.578	0.112	-0.642	-167.969
0.440	0.579	0.337	0.682	0.622	0.302	-0.725	-0.368	-0.350	-0.010	-0.623	-0.470	0.749	0.397	0.238	0.345	0.461	-0.140	0.095	0.467	0.664	0.325	0.105	0.364	-0.556	-0.579	0.256	-0.681	-164.062
0.328	0.479	0.299	0.567	0.610	0.356	-0.548	-0.212	-0.145	0.081	-0.455	-0.432	0.798	0.416	0.229	0.266	0.314	-0.163	-0.038	0.387	0.606	0.255	0.054	0.416	-0.543	-0.560	0.393	-0.706	-160.156
0.200	0.364	0.264	0.445	0.576	0.410	-0.381	-0.062	0.038	0.147	-0.302	-0.404	0.801	0.422	0.237	0.183	0.166	-0.229	-0.128	0.312	0.534	0.215	0.018	0.452	-0.499	-0.518	0.517	-0.706	-156.250
0.071	0.250	0.246	0.329	0.522	0.463	-0.238	0.073	0.185	0.183	-0.180	-0.387	0.748	0.404	0.239	0.097	0.024	-0.317	-0.179	0.237	0.444	0.196	-0.005	0.469	-0.428	-0.453	0.625	-0.672	-152.344
-0.045	0.150	0.251	0.230	0.450	0.510	-0.131	0.188	0.290	0.187	-0.096	-0.377	0.638	0.354	0.211	0.009	-0.106	-0.399	-0.199	0.154	0.338	0.186	-0.018	0.465	-0.336	-0.368	0.711	-0.600	-148.438
-0.143	0.072	0.278	0.152	0.363	0.543	-0.065	0.284	0.355	0.162	-0.051	-0.369	0.481	0.271	0.145	-0.079	-0.216	-0.452	-0.203	0.060	0.215	0.167	-0.026	0.438	-0.226	-0.265	0.769	-0.492	-144.531
-0.222	0.018	0.319	0.094	0.264	0.556	-0.038	0.363	0.386	0.111	-0.039	-0.355	0.293	0.159	0.044	-0.162	-0.301	-0.466	-0.205	-0.047	0.083	0.129	-0.036	0.393	-0.102	-0.151	0.792	-0.352	-140.625
-0.284	-0.016	0.360	0.050	0.156	0.539	-0.046	0.425	0.394	0.043	-0.049	-0.328	0.098	0.028	-0.073	-0.235	-0.355	-0.441	-0.217	-0.163	-0.050	0.065	-0.052	0.334	0.030	-0.032	0.773	-0.193	-136.719
-0.324	-0.041	0.386	0.008	0.045	0.486	-0.077	0.472	0.384	-0.036	-0.071	-0.285	-0.079	-0.104	-0.175	-0.291	-0.377	-0.388	-0.241	-0.279	-0.174	-0.022	-0.075	0.266	0.166	0.081	0.710	-0.030	-132.812
-0.337	-0.069	0.386	-0.040	-0.067	0.397	-0.119	0.497	0.364	-0.120	-0.095	-0.227	-0.219	-0.222	-0.234	-0.324	-0.365	-0.318	-0.275	-0.384	-0.276	-0.122	-0.106	0.195	0.297	0.177	0.603	0.119	-128.906
-0.312	-0.109	0.353	-0.103	-0.174	0.276	-0.160	0.497	0.335	-0.208	-0.112	-0.160	-0.310	-0.310	-0.228	-0.330	-0.324	-0.237	-0.310	-0.466	-0.349	-0.220	-0.139	0.125	0.414	0.244	0.462	0.237	-125.000
-0.240	-0.169	0.291	-0.179	-0.271	0.132	-0.189	0.467	0.298	-0.299	-0.120	-0.092	-0.346	-0.357	-0.150	-0.309	-0.258	-0.148	-0.334	-0.513	-0.385	-0.301	-0.168	0.058	0.507	0.271	0.296	0.308	-121.094
-0.123	-0.244	0.208	-0.265	-0.355	-0.019	-0.199	0.405	0.252	-0.395	-0.120	-0.034	-0.334	-0.360	-0.014	-0.261	-0.175	-0.046	-0.335	-0.520	-0.383	-0.352	-0.185	-0.006	0.565	0.251	0.121	0.324	-117.188
0.027	-0.322	0.116	-0.349	-0.421	-0.160	-0.186	0.312	0.199	-0.497	-0.113	0.006	-0.285	-0.321	0.156	-0.192	-0.084	0.073	-0.305	-0.485	-0.346	-0.362	-0.183	-0.066	0.585	0.184	-0.049	0.281	-113.281
0.179	-0.384	0.029	-0.418	-0.465	-0.276	-0.154	0.195	0.138	-0.603	-0.104	0.020	-0.215	-0.250	0.325	-0.107	0.009	0.207	-0.239	-0.412	-0.281	-0.327	-0.155	-0.123	0.566	0.076	-0.203	0.184	-109.375
